职位,薪水,经验,学历,关键词,工作地址
短视频拍摄剪辑专员,7000-10000元,1-3年,大专,岗位职责 1.根据策划需求，拍摄、剪辑制作短视频； 2.参与团队前期策划筹备，提供拍摄相关的创意内容，细化脚本、研究镜头表达方式； 3.参与前期拍摄、后期特效合成、剪辑合成、音乐音效合成等工作技能； 4.把控整个拍摄流程的节奏与人员及道具调配，能够运用纯熟的剪辑技术，针对视频特性进行剪辑包装创意，并开发创新的视频表现形式。     岗位要求  1.1年及以上短视频制作相关经验，摄影、数字媒体、影视制作、艺术设计等相关专业优先；  2.熟练使用摄影设备，熟悉后期视频剪辑制作，能熟练运用专业视频剪辑软件；  3.具备一定的视频拍摄和制作经验，有较强的美学知识，精通布光，善于布景；  4.能驾驭各种视频风格，具备良好的审美感、镜头节奏感和音乐感；熟知短视频玩法，对热点有敏感度，善于创新，思维活跃有脑洞；  5.抖音快手重度用户，熟悉短视频平台的制作规范；  6.善于与人沟通，逻辑思维清晰，能快速理解需求，具有较强责任感和团队合作精神，具备极强的执行力。  职位福利：周末双休、带薪年假、节日福利、五险一金,"工作地点
杭州西湖区绿城西溪国际D座7层
查看地图"
直播视频编辑师,3000-6000元,1-3年,学历不限,"岗位职责：
- 负责公司直播视频的内容编辑与后期制作
- 确保视频内容符合品牌调性和市场需求
- 与直播团队协作，提升直播视频的观看体验和用户互动
岗位要求：
- 熟练掌握视频编辑软件和工具
- 具备良好的审美观和创意思维
- 有直播视频编辑经验者优先
- 能够适应快节奏的工作环境，具备良好的时间管理能力","工作地点
广州越秀区金德大厦(东南1门)15楼C座
查看地图"
视频编辑师,5000-7000元,经验不限,本科,"关于我们:
是一家全数据驱动的新消费品牌拥有WIS、KONO、魔渍、墨雪等知名日化品牌。""让更美的生活触手可及""是我们的使命,我们将持续通过深挖数据价值,坚持以用户为中心,成长为倍受用户喜爱的新国货品牌。期待你的加入
【福利待遇】
1、入职即购买五险一金:
2、生日会:每月为当月生日员工组织生日会,同时会有生日卡片及礼品赠送:
3、部门活动:公司每月拨一笔经费,部门可自主选择活动(比如聚餐、电影、小型旅游等);
4、免费产品:每月120币,用于兑换WIS面膜、水乳等公司产品,公司不定期会发放免费各类日用产品;
5、公司为员工营造良好的休闲生活、工作环境,配备冰箱、微波炉、茶水机等员工休闲区
6、健康饮食：公司有专门的厨师做饭， 以成本价开放给大家吃，口味还不错哦；
7、员工享受带薪年假、产假、婚假、酒会、月会、年会等。
要求：统招本科；做过新媒体外加以下任意一项即可，要有半年以上经验哦，应届生毕业后一直在做相关的也可以。
1.剪辑（熟练使用剪映、pr）；
2.KOC/KOL业务；
3.电商官店运营经验；
4.视频剪辑切片经验；
5.投流经验；
6..其他新媒体相关经验
薪资：5-8K，面试定薪。
时间：大小周，早8.30晚6","工作地点
广州市-黄埔区-科学大道18号
查看地图"
10k+大健康信息流剪辑师,5000-10000元,北林路,1-3年,"岗位：信息流剪辑师
岗位数量：50人
岗位内容：1. 负责剪辑大健康信息流广告视频
2. 对接运营协调视频的制作环节，保证每日成片的质量和工作量
3. 根据抖音爆款逻辑寻找剪辑素材和拆解爆款视频框架，不断优化视频质量，提高广告转化率；
4. 熟悉抖音广告视频特点，参与脚本创作，对剪辑的主题方向有个人见解，能为后期的剪辑制定方案；
5.主动关注短视频市场动态，对热点视频、爆款视频一定的分析能力，能快速反应输出符合市场的视频内容。
岗位要求：1、有过带货/信息流类视频剪辑经验者优先考虑；
2、了解熟悉Pr、ps等软件，熟练掌握剪映软件，能独立剪辑完成2分钟左右的视频制作；
3、 熟悉抖音平台，对视频剪辑有浓厚兴趣，具有良好的爆款视频网感、审美及鉴赏能力，有自己独特的剪辑风格；
3、有一定的文字功底，对脚本和文案有自己的见解，有拆解对比总结能力，有较强的思维活跃度和创新能力；
4、工作细致认真、执行力强，团队意识强，具有较好的沟通能力和强烈责任感。
上班时间：9:00-12：30 14:00-19：30，固定每周日休息
工资待遇：综合5k-10k，具体底薪根据面试情况定薪","工作地点
郑州金水区经三路1
查看地图"
地产视频编辑,7000-8000元,经验不限,本科,"岗位内容：
1. 策划和制定短视频运营的整体方案，包括选题、拍摄、剪辑等。
2. 负责短视频平台的日常运营，管理用户关系和社群运营。
3. 数据分析和监测，根据数据进行调整和优化。
任职要求：
1.有视频剪辑经验，熟练应用视频剪辑软件(如剪影、pr 、 fcp 、达芬奇等)
2.熟悉应用专业相机拍摄设备，掌握短视频拍摄、制作流程，善于把文本语言转化成画面语言；
3.对短视频热点敏感，善于捕捉热门内容亮点，具备良好的模仿及创意二次创作能力；
4.优秀毕业生可优先考虑。","工作地点
丛台区邯郸市第一医院(东湖院区)建安路以北，春华路以西，文澜路以南
查看地图"
视频编辑,5000-6000元,经验不限,大专,"岗位内容：
1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。
2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性。
3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件。
4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。
任职要求：
1.至少专科及以上学历.
2. 具有较高的时间管理能力和责任心，能承受一定的工作压力。
3. 具备良好的沟通、协作能力，团队合作意识强。","工作地点
驻马店驿城区新百汇写字楼4楼412
查看地图"
底薪5K剪辑/五险一金,4000-6000元,1-3年,大专,"【岗位职责】
1、根据运营的需求，拆分素材，分类，整理素材
2、素材剪辑，加字幕、特效、成片等
【任职要求】
1、熟练使用调色工具，有非常好的审美优先，面试附上你的视频作品
2、有过视频剪辑，图片调色经验
3、有过信息流视频剪辑经验优先，具备拍摄经验及拍摄技巧
4、熟练使用PS，PR，剪映软件
【工作时间】
1、9:00-18:00，中午12-13:30休息，不加班
2、单休周一
【薪资福利】
1、无责底薪4000+1000绩效
2、五险一金+每周下午茶+带薪年假+工龄年假+节假日礼品+周年纪念+生日礼品等
3、超长带薪年假","工作地点
重庆渝北区恒大中渝广场2号写字楼26楼
查看地图"
视频编辑,4000-8000元,民族大道,1-3年,"岗位职责：
1. 负责各类创意短视频、宣传片等内容的后期剪辑、包装及制作，确保成片质量；
2. 理解影视语言，把握用户痛点，根据创意脚本对视频内容进行剪辑创作、剪辑和编排，形成宣传效果良好的创意视频；
岗位要求：
1. 专科及以上学历，影视设计、影视后期、影视编导、动画等相关专业;
2. 一年以上后期制作岗位工作经验，有抖音短视频的剪辑经验者优先；
3. 熟练使用PR、AE、剪映、达芬奇等软件;
4. 对画面、镜头整体把握力强，对色彩、构图、镜头感觉敏锐；
5. 玩创意，爱创作，能大胆表达自己的想法，乐于尝试新的内容形式及创作风格，乐思乐学。
职位福利：五险、福利双休、节日福利、定期下午茶、绩效奖金、项目提成
在职的，专业不对口的，看看情况的不要投简历。","工作地点
南宁青秀区亚航财富中心
查看地图"
短视频编辑,4000-8000元,经验不限,大专,"一、公司简介
我们是一家专注于短视频内容创作与传播的创新型公司，业务覆盖生活、美食、旅行、娱乐等多个热门领域。凭借独特的创意和优质的内容，公司拥有专业的创作团队和完善的制作流程，致力于打造有趣、有料、有价值的短视频内容，为用户带来全新的视听体验。
二、岗位职责
1. 负责短视频的创意策划，根据不同主题和目标受众，制定独特新颖的拍摄方案，确保视频内容具有吸引力和传播性。
2. 熟练运用摄影摄像设备，完成短视频的拍摄工作，包括场景布置、镜头运用、光线调节等，保证拍摄画面的质量和效果。
3. 运用专业剪辑软件（如剪映、 Adobe Premiere Pro、Final Cut Pro 等）对拍摄素材进行后期剪辑，添加字幕、音效、特效等，使视频节奏紧凑、内容生动。
4. 关注短视频平台的流行趋势和用户喜好，不断优化视频内容和表现形式，提高视频的播放量、点赞数、评论数等数据指标。
5. 与团队成员密切协作，包括编导、运营等，共同完成短视频的制作和推广工作，确保项目按时交付。
三、任职要求
1. 影视制作、传媒、新媒体等相关专业优先。
2. 熟练掌握摄影摄像技术，能够独立完成短视频的拍摄任务，对画面构图、光线运用有敏锐的感知和把握能力。
3. 精通至少一种主流剪辑软件，具备扎实的剪辑功底，能够熟练运用剪辑技巧，制作出高质量的短视频作品。
4. 具备良好的创意策划能力和审美能力，对短视频内容有独特的见解和创新思维，能够快速捕捉热点话题并融入到创作中。
5. 工作认真负责，有较强的责任心和团队合作精神，能够承受一定的工作压力，按时完成工作任务。
四、薪资福利
1. 具有竞争力的薪资待遇：根据个人能力和经验面议。
2. 广阔的发展空间：公司注重员工的个人发展，提供丰富的培训和晋升机会，优秀员工有机会参与公司的核心项目。
3. 轻松愉快的工作氛围：公司团队年轻有活力，工作环境舒适，鼓励员工创新和分享。
期待你的加入，一起创作更多精彩的短视频！","工作地点
威海环翠区火炬高技术产业开发区恒泰街97-2号广源家具五楼
查看地图"
短视频剪辑（入职缴五险）,6000-8000元,1-3年,大专,"岗位职责
1、负责公司视频素材的剪辑，确保视频成品质量符合公司要求；
2、协调与沟通视频制作的各相关环节，协助完成后其创意、制作和包装工作，对成品质量负责；
3、 负责视频库的日常更新与维护，定期对视频内容做整理、分类。

任职资格：
1、熟练各项剪辑软件，如AE/PR/剪映等；
2、熟练运用镜头语言、BGM、包装元素等；
3、具备良好的审美能力和创意，有一定的视频逻辑整理能力；
4、具备良好的沟通能力和团队合作精神，能够和团队成员高效沟通协作，执行力强；
5、两年以上的短视频后期经验，有短视频平台爆款作品者优先。","工作地点
长沙天心区中欣国际6楼601
查看地图"
视频编辑与新媒体运营,6000-10000元,永顺,1-3年,"【工作内容】
1、掌握云台、航拍、灯光布景，后期剪辑、包装等技能。
2、拍摄包括人物专访视频、汽车产品视频、企业宣传片、短视频等题材。
3、有文字能力，可编写创意脚本文案。
4、可独立出差进行活动拍摄、人物采访、车辆试驾测评等工作。
5、公司ip人物视频运营
6、视频多媒体平台运营发布。
【能力要求】
1、精通AE，PR等影视制作软件,在画面处理，音效处理和字幕处理方面有丰富的经验；
2、具备画面语言叙事能力，有独立完成视频剪辑、特效制作、视频合成的能力；
3、影视、动画、视觉传达、美术、摄影、数字媒体艺术、编导后期等相关专业大专及以上学历；
4、具有1-5年以上视频拍摄及视频内容制作经验，对视频的主题、标版设计、动画、质感、节奏、色彩等方面有较好的把握；
5、熟练使用摄影器材、灯光，最好会航拍。
　　
6、短视频运营经验，人物ip拍摄。
(简历请附上视频和摄影作品)
职位福利：五险一金、周末双休、带薪年假、免费午餐","工作地点
北京市-通州区-通燕路世界侨商中心
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
石峰区株洲云龙万达广场5616
查看地图"
短视频内容编辑,1.1-1.7万,3-5年,大专,"工作职责
1、负责深蓝保相关账号在抖音、小红书、视频号等视频平台的保险内容创作，通过把控选题和写法，为账号提供优质内容，并对视频的最终呈现负责；
2、对好内容有追求，定期对保险类选题进行梳理、策划，为平台及内容数据负责；
3、具备用户思维，有用户视角，保持对短视频平台、保险产品及行业动态趋势的关注，并及时反馈。
4、其他上级安排的工作；
任职要求
1、大学大专或以上学历，学习相关专业或从事过保险、财经行业优先；有主流视频平台创作经验优先；
2、网感好，具备较强的文字驾驭能力和内容节奏感、逻辑清晰，能激发观众的好奇心和观看欲；
3、有较强的自我学习能力，能独立思考，擅长信息检索；
4、善于沟通，具备良好的表达能力、团队协作精神和执行力；
5、熟悉新媒体各平台规则，能快速捕捉热点，熟悉短视频各平台特性、用户喜好、内容玩法；","工作地点
深圳南山区卓越后海中心34楼
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
吴兴区湖州吴兴万达广场5612
查看地图"
视频拍摄剪辑师,5000-10000元,3-5年,大专,"岗位职责：
- 负责公司相关视频内容的拍摄及剪辑工作
- 保证视频画面质量和剪辑效果
- 参与视频创意策划和脚本撰写
岗位要求：
- 熟练掌握视频拍摄和剪辑技巧
- 具备良好的审美观和创意能力
- 了解各类视频格式和剪辑软件
- 有相关工作经验者优先","工作地点
长春二道区天定山民宿-接待中心
查看地图"
视频编辑,6000-7000元,1-3年,本科,"岗位职责：
1.负责视频拍摄前期策划工作，撰写脚本与分镜，明确拍摄节奏与内容结构；
2.负责公司宣传片、产品介绍、活动记录、短视频等各类视频内容的拍摄与后期剪辑；
3.参与公司各类活动及大型会议、展览，负责现场照片拍摄与素材记录；
4.负责视频素材及相关资料的整理归档，建立完善的素材库，提升资源复用利用率；
5.协助公司直播相关工作，包括直播画面调试、灯光布置、设备支持、素材准备及直播过程中画面监控等内容；
6.持续关注视频制作风格趋势与主流平台算法变化，优化内容表现力与传播效果。
1.本科及以上学历，2-3 年视频编辑经验，其中至少 1 年工业 / 机械类视频制作经历。
2.有成功案例：制作的产品视频在官网 / 行业平台播放量≥1 万，或短视频点赞量≥500（针对 B 端客户的工业内容）。
3.熟悉 B 端视频的传播特点，能区分 “打动采购商” 与 “打动普通消费者” 的剪辑逻辑。","工作地点
徐州睢宁县松谷激光科技(江苏)有限公司(粤铭激光集团全球制造中心)
查看地图"
视频拍摄编辑,3000-4000元,1-3年,中专/中技,"岗位内容：
1. 负责各类视频素材的筛选、剪辑工作，保证视频质量和创意水准。
2. 重点把握影片的节奏，对影片的剪辑进行创新设计，使之具有一定的观赏性和信息传递性。
3. 完成剪辑工作前，对原始素材进行筛选、分类和标注，为制作顺利进行提供基础条件。
4. 协助团队完成其他制作工作，例如声音的调配、场景的选择等。
任职要求：
1. 熟练掌握剪辑技术，熟悉各种剪辑软件，能够快速完成任务。
2. 具备良好的创新能力和较高的思维活跃度，善于捕捉影片中的亮点和突出部分。
3. 较高的学习能力，能根据项目需求不断学习新技术。
4. 具有团队合作精神和高度的责任心，有良好的沟通能力和表达能力。","工作地点
淄博市-张店区-共青团西路112号
查看地图"
视频剪辑,4000-6000元,1-3年,大专,"岗位职责：
1、负责医生类口播短视频剪辑，完成每日出片数量;
2、追踪热点，结合实际情况和当下热门独立设计视频内容；
3、根据不同需求，对各类素材进行内容协调，沟通视频制作的各个环节保证成片质量。
任职要求：
1、大专及以上学历，影视设计、影视后期、影视编导、动画等相关专业，有相关经验优先；
2、具备一年以上视频剪辑工作经验，熟练运用PS、PR、剪映等软件；
3、具备良好的沟通能力，了解当下短视频发展趋势；","工作地点
长沙岳麓区环创企业广场-B4栋
查看地图"
新媒体视频编辑,3000-4000元,经验不限,学历不限,"职位描述
1、负责公司网站产品信息发布及短视频剪辑发布。
2、公司付费网站日常维护。
3、协助上级带新员工。
4、领导临时安排的其他工作。
任务要求
1、会办公软件，会简单的图片处理。
2、年龄30岁以内，有短视频编辑经验者优先。
2、工作仔细认真、为人正直，有责任心，有上进心。","工作地点
石家庄裕华区珠峰大街
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
天门市万达广场(天门店)6545
查看地图"
视频图片剪辑师,8000-12000元·13薪,3-5年,本科,岗位福利：大学工作环境（食堂，游泳馆，健身房），13薪，绩效奖金，法定年假+企业年假，餐补，通讯补助，取暖补助，五险一金，商业补充保险  1.视频创作与剪辑  (1)负责校园活动（如开放日、学术讲座、课堂展示）的拍摄与后期剪辑，产出招生宣传视频、品牌形象短片、校园生活 vlog 等内容；  (2)配合市场招生需求，制作抖音、小红书、公众号等新媒体平台的短视频，确保内容符合潜在学生及家长偏好；  (3)参与视频创意策划与脚本设计。  2.直播支持  (1)配合招生宣传节点（如招生说明会、校园开放日、课程体验课），负责直播前的视觉筹备：包括直播背景设计、灯光调试、镜头角度搭建，确保直播画面清晰美观；​  (2)承担直播过程中的技术辅助：操作直播设备（如摄像头、麦克风、推流软件），实时监控画面与声音质量，快速解决卡顿、画面偏移等基础问题；​  (3)负责直播内容的二次加工：将直播精彩片段剪辑为短视频（如 “招生官答疑集锦”“课程亮点片段”），或截取优质画面制作图文素材，用于后续宣传复用。  3.图文设计与后期  (1)设计平面宣传素材，如招生海报、公众号头图、H5 页面图文元素，确保视觉风格与北外国际课程中心品牌形象统一。  4.设备与素材管理  (1)负责个人常用摄影摄像设备的日常维护，定期盘点设备状态；  (2)整理视频、图片素材库，分类归档。,"工作地点
海淀区北京外国语大学(北校区)
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
涪城区绵阳涪城万达广场8465
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
宝塔区万达广场(延安宝塔店)6541
查看地图"
拍摄剪辑,6000-9000元,3-5年,大专,"职位描述
1、负责抖音短视频的拍摄工作，根据创意脚本和前期人员的需求对素材进行制作、剪辑等后期处理工作；
2、研究爆款短视频剪辑方法、流量技巧，提升短视频播放量，结合产品从剪辑入手，提升转化效果；
3、按时、高效的配合完成视频剪辑等后期工作，保证视频的质量；
4、完成对所剪辑视频文件及相关素材的存储、上传、备份等工作，并整理项目的源素材及其他相关素材文件；
任职要求：
1、拍摄剪辑经验较佳，会用相机（单反）和布光，会用大疆优先；
2、沟通能力好，有短视频创意；有宣传片或者医疗经验优先；
薪资福利：
1、上班时间：8:30-18:00，大小周，月休6天，法定节假日正常休息，缴纳社保；
2、入职满1年有5天年休假，节日福利，生日福利，不定期员工团建旅游，下午茶，婚丧嫁娶假期及红包。","工作地点
郑州金水区路劲大厦24楼（众意西路地铁站D1出口）
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
德城区万达广场(德州德城店)5454
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
广元利州区万达广场(万源三号路店)4245
查看地图"
后期剪辑,5000-9000元·13薪,经验不限,学历不限,PRAEPS  岗位职责： 1.对视频、音频进行专业的剪辑处理； 2.使用视频特效制作软件进行高品质的包装动画制作； 3.调整视频内镜头的颜色使其统一，提升视频质量； 4.按时、保质保量的完成各项工作任务； 工作态度端正，遵守公司各项规章制度。 任职要求： 1.本科以上相关专业毕业，具有良好的审美基础和丰富视频制作项目经验； 2.具有良好的工作能力和沟通理解能力； 3.熟练操作PS、AE、PR、AU、达芬奇、剪映等后期制作相关软件； 4.对视频、音频可以根据文案脚本实现快速、高品质的视频剪辑加工处理； 5.熟练使用E3D、红巨人系列、OP光等视频包装动画相关插件，实现立体字、粒子、灯光、跟踪、抠像等视频效果； 6.具有基本的拍摄技能，可以使用佳能设备进行拍摄优先； 会使用C4D等三维软件加分。,"工作地点
济源市中原国际商贸城(济水大街店)
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
南谯区滁州南谯万达广场3123
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
秦都区万达广场(咸阳丽彩店)4664
查看地图"
视频剪辑助理,5000-7000元,经验不限,大专,"岗位内容：
1. 负责公司视频、微电影等多媒体制作物的剪辑及后期制作工作。
2. 对剪辑风格、配乐、画面调色方案做出策略建议，以获取更好的制作效果。
3. 利用剪辑手段，将冗长或无关的镜头剪辑掉，突出核心信息，提高制作品质。
4. 整合制作资源，并在时间节点内按要求完成各类视频制作任务。
5. 善于发掘优秀素材，不断创新，提高制作品质，实现预期目标。
任职要求：
1. 具有较高的时间管理能力和责任心，能承受一定的工作压力。
2. 拥有优秀的沟通能力和团队协作精神，能够有效地与导演、平面设计师等协同合作。","工作地点
济源市曼哈顿广场-B座1101
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
龙海区万达广场(漳州台商店)4531
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
上杭县万达广场(龙岩上杭店)2319
查看地图"
后期剪辑制作,7000-8000元,经验不限,大专,"岗位内容：
1. 负责视频剪辑、后期制作，包括素材的选取、处理和编辑等工作。
2. 配合导演的要求完成视频剧本创意的呈现，保证角色、场景、音效等资料的完整性和精准度。
3. 使用专业视频软件，完成音频、视频、特效的调整和混合，确保视觉与听觉效果的协调性。
4. 了解相关技术规范并遵守，制作出符合企业及标准的优秀影片。
任职要求：
1. 熟知后期制作流程，对影视行业有充分理解。
2. 具备良好的沟通、协作能力，团队合作意识强。","工作地点
郑州金水区兰德中心
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
宿豫区万达广场(宿迁宿豫店)1353
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
武陵区万达广场(常德店)6541
查看地图"
在家办公剪辑(抖音短视频带货）,8000-12000元,经验不限,学历不限,"支持在家自己剪辑，无需到岗
我们开放达人直播片段授权资源，当前可合作的达人包括:广东夫妇、刘思瑶、竺天天，洛哥，魏老板等
只要掌握剪辑技能，不会我们公司免费培训，配合官方免费授权，就能在家获得收入
我是亿景传媒首席运营，精通短视频带货运营，现直播切片正在火热招募，亿景传媒全程不收取任何费用!","工作地点
延边朝鲜族自治州-延吉市-明河胡同55号
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
来宾兴宾区森明大厦5423
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
鼎湖区万达广场(肇庆鼎湖店)1254
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
尧都区万达广场(临汾尧都店)4211
查看地图"
后期剪辑特效,6000-8000元,经验不限,学历不限,"岗位内容：
1. 负责公司视频、微电影等多媒体制作物的剪辑及后期制作工作。
2. 对剪辑风格、配乐、画面调色方案做出策略建议，以获取更好的制作效果。
3. 利用剪辑手段，将冗长或无关的镜头剪辑掉，突出核心信息，提高制作品质。
4. 整合制作资源，并在时间节点内按要求完成各类视频制作任务。
5. 善于发掘优秀素材，不断创新，提高制作品质，实现预期目标。
任职要求：
1. 熟练使用剪辑软件，有良好的剪辑技巧，3年以上相关工作经验。
2. 拥有敏锐的审美和极强的表现力，熟悉各种影视元素的运用。
3. 具有较高的时间管理能力和责任心，能承受一定的工作压力。
4. 拥有优秀的沟通能力和团队协作精神，能够有效地与导演、平面设计师等协同合作。","工作地点
鄞州区宁波鄞州万达广场21
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
钦南区钦州商业大厦(新兴街店)4562
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
玉州区万达广场(玉林玉州店)4146
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
东坡区万达广场(眉山东坡店)5631
查看地图"
