职位,薪水,经验,学历,关键词,工作地址
7000需要早教师,7000-8000元,1-3年,本科,"职位描述
教师
保育员
岗位内容：
1. 实施幼儿教育计划并监督学生学习进展；
2. 管理教室和学生行为，维持一个安全、积极的学习环境；
3. 与家长协商沟通，创建亲密的师生关系。
任职要求：
1. 拥有不少于两年的幼儿教育工作经验；
2. 具有幼儿或相关领域的本科及以上学历；
3. 热爱幼儿教育且具有耐心和细心的态度；
4. 能够主动解决问题且善于沟通交流。","工作地点
北京市朝阳区广化大街(化工地铁站C东南口)东南侧约172米
查看地图"
学前教育教师,4000-5000元,1-3年,本科,"职位描述
教研
专业课及教育学心理学
职业院校
幼师资格证
普通话水平测试一级乙等证书
保育员职业资格证书
专兼职均可
岗位要求：
1、根据教学部门教学进度安排，完成教学计划规定的教学内容教学活动并达到教学目标；
2、跟踪学生学习进度，并给出相应指导；
3、负责与教学主管部门积极沟通，根据学生情况，做出相应教学调整；
4、按时按要求完成本专业授课教学计划和教学大纲，安排和补充授课内容；
5、负责编排、组织学校各项教学活动、主题活动、专业竞赛活动；
6、有针对性的对学生进行思想品德教育，专业发展方向教育，实习就业指导；
7、学校安排的其他相关工作。
任职要求：
1、本科及以上学历，相关专业，2年以上实际工作经验；
2、善于与学生沟通，擅长调动课堂气氛，有创新意识和专研精神；
3、授课富有激情，活泼，富有亲和力，责任心强；
4、爱岗敬业，为人踏实，热爱教育事业，具有奉献精神；
5、正规大中专职业学校授课，思想品德良好，无犯罪记录；
6、实际工作经验丰富者优先，有教师证及相关职业资格证书者优先；
7、有志于从事本专业，热爱教师行业，素质全面；
8、可以专兼职，大中专在职教师兼职优先。
职位福利：定期团建、带团队、带薪年假、包住、鼓励内部创新、转岗/轮岗机会、团队气氛活泼、年轻化团队
职位亮点：正规职业院校，环境优雅，管理正规，发展空间大","工作地点
吉林省四平市铁东区沥山路5117号4号楼201
查看地图"
幼儿园英文实习生,2000-4000元,无经验,大专,"职位描述
双语教师
英语
幼儿园
岗位职责：
（1）根据幼儿园课程体系要求，协助开展班级英文教育教学、卫生保健工作，与班级成员随时保持沟通，提高工作效率，定时高质量完成班级各项工作。
（2）做好教学的配教工作。
（3）做好学期个人工作计划和个人工作总结。
（4）参加幼儿园组织的各类培训、观摩及课题研究，并能结合实际创造性地开展工作。
（5）教育观念不断更新，注意对孩子进行个体关注、个体跟踪指导。
（6）协助主、副班教师开展家园沟通工作，与家长保持积极沟通，保持生源的稳定。
（7）根据幼儿园工作安排，协助主、副班教师组织和开展各项展示和提升幼儿园品牌的活动。
（8）服从园内领导安排的各项工作。
技能证书：幼儿园教师资格证
经验要求：在校大学生（英文专业、英文特长均可）或应届毕业生
岗位素质：
1、热爱教育事业，知晓幼稚园班级日常教学工作，对学前教育相关理论、政策有深入的了解；
2、有爱心、性格好、责任感强、并具有较强的创新能力、沟通协调能力、应变能力、自我学习能力，有美术及简单设计特长优先

职位福利：周末双休、大牛带队、定期团建、团队气氛活泼、多次晋升机会、员工食堂","工作地点
新都区成都市三原外国语学校附属小学(东南1门)
查看地图"
幼儿园老师,3000-4000元,3-5年,大专,"职位描述
幼儿园
早教中心
托育中心
幼师资格证
岗位要求：
1、师范类相关专业大专及以上学历；
2、年龄20-35岁；
3、具备教师资格证，有3年以上幼儿园教育工作经验；
4、形象好，气质佳；喜欢孩子，活泼开朗；具备服务意识，有较强的组织、沟通能力，有责任心，有亲和力，善于沟通；
5、有艺术（美术、舞蹈）特长者优先。","工作地点
广东省肇庆市广宁县百盈东路6号
查看地图"
幼儿园教师,4000-6000元,1-3年,本科,"职位描述
幼儿园
幼师资格证
此岗位工作地点为和平区睦南道
职位描述
1、认同幼儿园理念，采用因材施教的方法有计划有秩序的开展教学类活动，定期向园长汇报工作；
2、细心观察记录幼儿的学习发展情况，根据情况调整幼儿的教学计划；
3、积极配合教学工作，提高幼儿对英文的学习兴趣并营造良好的英文学习氛围；
4.科学合理安排幼儿一日生活。严格执行幼儿园各项常规及安全、卫生保健等制度。
5、密切关注幼儿活动及要求，提供适当的指导，积极与生活老师配合管理好幼儿生活，为幼儿创造健康愉快的成长环境；
6、完成本学期计划并做好相应记录，指导助理老师完成幼儿的观察记录工作。
7、营造良好的家校沟通环境，与家长及时沟通幼儿在校的表现情况，与家长共同商讨幼儿的成长计划，促进幼儿全面发展。
二、任职要求：
1.幼儿教育及相关专业本科及以上学历
2、有爱心、责任心强、沟通表达能力强、有团队合作精神、亲和力强、适应能力强
3、熟练使用各种办公设备及相应的办公软件
4、有相关工作经验者优先考虑
三、福利待遇
五险一金，提供工作餐、工作时间：7:30——17:30、双休","工作地点
天津市-和平区-睦南道52号
查看地图"
安全导玩员（双语）,5000-8000元·13薪,经验不限,学历不限,"职位描述
培训机构
幼儿园
早教中心
任职要求：
1. 工作经验：
• 有1年以上连锁品牌工作经验。
2. 软技能：
• 喜欢跟孩子接触，具有服务意识，为人正直、诚实、敬业，热爱儿童游乐事业，有爱心；
• 具有良好的职业道德，强烈的责任心和事业心，具备团队合作精神，执行力强；
• 口齿清晰，有良好的心态和抗压能力(能主动积极与顾客，同事和管理层沟通，建立联系)。
3. 加分条件：
• 英语教培行业销售经验或五星级酒店前台背景工作经验优先。

岗位职责：
1. 负责场馆内孩童玩乐安全，用英语与小朋友打招呼、做提问式互动沟通、玩乐规则的讲解等一切沟通及互动；
2. 解决场内客人的各项需求并回答各类问询；
3. 全面、充分了解各种应急预案，并在出现突发紧急的时候做到正确引导，如在必要情况下帮助疏散顾客；
4. 负责所在区域随手清洁和消毒，确保工作区域的干净和整洁；
5. 会熟练使用短视频、活跃气氛、协助组织本门店开展各类主题活动，如亲子游戏、生日会活动主持、应季主题活动等；
6. 完成领导安排的每日任务。","工作地点
虎丘区苏州外国语学校幼儿园(向阳路)
查看地图"
幼儿园教学主管(J56521),8000-10000元,无经验,本科,"职位描述
工作职责
一、教学及教研工作
1、根据发展规划和幼儿园实际情况，明确幼儿园教学、科研方向;制定本园教学、科研长远规划和年度计划,元善课程体系。
2、学期末，对本学期计划提出合理改善计划和措施。
3、定期整理教师的计划与备课等
4、完善保教工作相关流程和规范，并严格执行。
5、对规章制度不合理、不完善之处，及时与上级沟通，提出改进意见。
二、日常教学活动管理
1、按时召开例会，分配工作任务，听取工作意见。
2、检查、指导各层级教师计划制定的质量状况。
3、指导教师教学工作。
4、定期对各班教育环境进行检查，指导各班进行教育环境创设。
5、每年度进行2次幼儿园教学质量分析与评估，并写出分析研讨报告。
6、重视本园教准研、科研工作，以科研促进教学，努力创建自己的品牌特色。
三、教师管理
工作标准:完成教师团队的
1、负责教师的评定工作，根据教师的特点和能力，合理分配教师工作。
2、依据考核标准，对教师进行考核，为评聘提供依据。
3、根据本园师资，长远规划，计划好年度人员的岗位培训。
4、定期召开教师代表大会，调动和发挥教师的积极性、主动性和创造性。
5、负责园风建设，引导教师积极向上的心态，协调教师之间人际关系，帮助教师做好职业发展规划。
四、家长工作及口碑提升
全面负责家长工作
任职资格
1、本科及以上学历，学前教育专业
2、具备大中型幼儿园教学主管五年及以上经验
3、有丰富的教学经验，和优秀的教育技能
4、热爱幼儿教育和儿童，熟悉并接受集团化管理
5、有丰富的幼儿园运营经验，深入了解和意识到不同年龄阶段孩子身心成长的需要
6、在处理家长、幼儿、教学、员工关系方面有丰富的经验。","工作地点
北京朝阳区辛店路1号亚运新新园东门巧智博仁幼儿园亚运新新园
查看地图"
早教老师,4000-5000元,1-3年,大专,"职位描述
早教中心
幼师资格证
音乐
美术
舞蹈
岗位内容：
1. 教授幼儿基础知识和社交技能；
2. 协助制定周计划，监督各类教学活动的顺利执行；
3. 提供全方位的幼儿保育，记录学生日常表现和成长状况。
任职要求：
1. 具有良好的组织和时间管理能力；
2. 热爱孩子，能够营造温馨和谐的教育环境；
3. 可以适应灵活的工作安排和多任务工作压力。","工作地点
哈尔滨南岗区润晟托管成长中心(鲁商分校)
查看地图"
实习教师幼师,60-70元/天,,中专/中技,"职位描述
可转正
实习证明
幼儿教师
少儿英语教师
小学语文老师
英语
语文
幼儿园
早教中心
托育中心
协助班级做好一日活动组织,英语专业、小学语文专业、学前教育专业、均可","工作地点
贵阳市南明区前进幼儿园龙洞堡龙水路112号兴业北街
查看地图"
幼儿园主班老师,4000-6000元,1-3年,中专/中技,"职位描述
幼儿园
幼师资格证
技能要求：
一、热爱幼儿教育事业，爱护幼儿，努力学习专业知识和技能，提高文化和专业水平，品德良好、为人师表，忠于职责，身体健康。
二、观察了解幼儿，依据国家规定的幼儿园课程标准，结合本班幼儿的具体情况，制订和执行教育工作计划，完成教育任务;
三、严格执行幼儿园安全、卫生保健制度，指导并配合保育员管理本班幼儿生活和做好卫生保健工作;
四、与家长保持经常联系，了解幼儿家庭的教育环境，商讨符合幼儿特点的教育措施，共同配合完成教育任务;
五、参加业务学习和幼儿教育研究活动;
六、定期向园长汇报，接受其检查和指导。","工作地点
石家庄桥西区睿林幼儿园
查看地图"
幼儿园英文班主任,7000-8000元,1-3年,大专,"职位描述
双语教师
英语
幼儿园
幼师资格证
教师资格证
岗位内容：
1. 能根据园内教学要求实施教学计划。
2. 安全意识强，确保孩子们在安全、愉快的环境中学习和成长。
3. 组织和参与配合完成园内各类特色活动。
4. 负责家长沟通工作，及时反馈幼儿在园情况。
5. 对班级进行日常管理，确保教学环境的整洁和安全。
任职要求：
1. 英文班主任需用英文作为日常工作用语。
2. 有2—3周岁幼儿园或托育工作优先考虑
3. 能用照片或视频形式及时记录幼儿日常活动。
4. 有团队合作意识，热爱幼教事业。
5. 持有幼教相关资格证书","工作地点
深圳市龙华区展华幼儿园
查看地图"
病房学校老师,5000-7000元,1-3年,本科,职位描述教育救助社会工作青少年服务特殊教育 工作职责 ：  1.负责服务院内/外长期住院大病儿童，开展日常活动及课程；  2.通过与患儿、家长沟通，进行访谈工作等，完成需求评估和情况跟踪；  3.负责招募志愿者，对志愿者进行培训以及评估；  4.负责与院方沟通，维护院方医护团队关系；  5.负责资方维护，定期开展线上及线下活动，维护与资方关系；  6.完成机构日常行政工作，配合基金会完成项目点数据收集、统计等工作；  7.领导交办的其他工作。     任职资格：  1.认同基金会的宗旨、使命、价值观和工作原则，认同病房学校项目的意义；  2.本科及以上学历，专业不限（有幼儿教育、小学教育、社会工作、心理学相关经验专业或工作背景者优先）；  3.具有教师资格证；  4.能积极主动、有责任心；  5.具有优秀的书面和口头表达能力；  6.擅长拓展和维护人际关系；  7.具备统筹管理所辖区域内病房学校工作能力者优先。,"工作地点
银川金凤区北京大学第一医院宁夏妇女儿童医院(宁夏回族自治区妇幼保健院)
查看地图"
弋江区公办园顶岗幼师/保育员/厨房,2000-3000元,经验不限,中专/中技,"职位描述
保育员
幼儿园
幼师资格证
公办园
弋江公办幼儿园顶岗幼师若干/保育员若干/保健医3人/厨房7人招聘
要求幼师必须持有幼儿教师资格证，保健医持有护士/医师资格证
薪资待遇:双休 五险 法定节假日
上班时间8:00-16:30（寒假带薪）
办公地址为：安徽省-芜湖市 非深圳集团招聘 请仔细注意查看就职地址后投递简历","工作地点
芜湖弋江区讯飞智能大厦B座10楼B1010室
查看地图"
幼儿园中文助教,6000-8000元,3-5年,大专,"职位描述
幼师
早教
助教
线下授课
集体授课
私立学校
全职兼职均可
学校/学历教育
岗位职责：
1.按照教学要求完成幼儿教学工作；
2.协助外教完成教学工作；
3.教室及教具的维护和管理；
4.负责教室环境布置、重大活动及课程教材准备工作；
5.协助外教进行学生评估报告及日常家长翻译沟通工作；
6.参与各类教学教研活动。

任职要求：
1.持有幼儿教师资格证；
2.有三年幼儿教学工作经验，熟悉幼儿年龄特点；
3.具有美工、音乐或舞蹈类特长；
4.性格开朗，热爱幼儿；
5.具有良好的英语基础，能进行日常交流；
6.富有爱心，具有责任感；
7.良好的沟通能力及团队合作精神；
8.具备国际幼儿园工作经验者优先。

其他信息：
专业要求：不限
年龄要求：不限
语言要求：普通话标准、英文流利
福利待遇：
上班时间：周一至周五8:00am-4:30pm
五险一金、带薪病假、定期体检、提供午餐、生日福利卡、节日福利、定期团建、教职员子女教育

职位福利：五险一金、节日福利、员工旅游、包吃、带薪年假、定期团建、试用期全额奖金","工作地点
宝山区上海旭莲幼儿园
查看地图"
幼儿园实习老师,150-200元/天,,大专,"职位描述
幼儿园
1、协助主班老师组织幼儿的教学活动；
2、配合主班老师安排班内幼儿一日生活；
3、上级领导安排的其他园内辅助工作。
任职要求：
1、学前教育或相关专业大专及以上学历在校学生；
2、热爱教育事业，工作积极主动、责任心强；
3、具有良好的团队合作能力和责任心，工作态度积极，有上进心；
工作地点：
北京市大兴区泰禾幼儿园
工资标准：2500/月","工作地点
北京大兴区泰禾中央广场
查看地图"
幼儿园教师（周口市区）(J10416),2000-4000元,经验不限,大专,职位描述幼儿园幼师资格证  岗位职责:  1.根据园所教育目标制定符合本班级的各项工作计划并带领班级老师执行；  2.管理班级幼儿安全及一日常规工作；  3.建立班级良好的家园关系。  任职要求:  1.喜爱并愿意从事幼教工作；  2.学前教育相关专业毕业，大专及以上学历；  3.普通话标准、持教师资格证，两年以上工作经验。,"工作地点
周口市川汇区六一星系幼儿园建业教育幼儿园
查看地图"
幼儿园前台咨询教师,4000-5000元,3-5年,大专,"职位描述
全白班
五险一金
周末双休
法定节假日休
带薪年假
节日福利
学校
▲岗位职责：

1、负责幼儿园前台接待工作，接待来访家长；
2、及时接打电话，需要紧急处理的问题及时与领导沟通，反馈；
3、其他基础文案工作；
4、负责各类招生活动的宣传工作；
5、协助领导处理其他事情；
6、上传下达，保持内外部沟通顺畅。
▲职位要求：
1、形象亲和，口齿伶俐，普通话标准，思维敏捷，具备较好的沟通能力和解决问题的能力；
2、有目标性，具备较好的抗压能力，能够努力完成招生指标；
3、具备良好的团队意识和合作意识；
4、学前教育专业或者做过早教中心的招生顾问可优先考虑。","工作地点
青岛市南区三颗糖森林幼儿园
查看地图"
双语早教老师（就近分配+双休）,6000-9000元,1-3年,大专,"职位描述
双语教师
英语
音乐
美术
幼儿园
早教中心
岗位职责：
1.备课与授课
1）负责早教课程的授课工作（含试听课、活动课、正式课）；
2）参加教研教学，按照规定完成备课；
3）定期与家长沟通，维护好家长，提高客户满意度，及时处理投诉等问题。
2.教室与教具维护负责课前及课后教具与材料的维护，保持教室干净整洁。
3.团队协作
1）参加公司提供的各类培训活动；
2）负责完成课程与教案的修改完善并根据实践给与反馈；
3）服从中心的工作安排，执行、配合完成中心内的各类活动；
4）配合其他部门共同完成各项工作。
岗位要求：
1.大专以上学历，学前教育、心理学、英语、音乐、舞蹈、美术等专业；
2.早教行业工作经验 2 年以上，有英语口语能力（无口音）；
3.有托育园工作经验、一线早教品牌工作经验者优先；
4.热爱儿童教育，喜欢孩子，亲和力强，学习能力强，责任感强，有良好的的沟通能力。
工作时间：
周一周二休息
9:30-18:30
国定假日休假
（端午，中秋，等短假节假日当天休息，其他时间排班休假。十一五一等长假）
工作地址：
1.西安市曲江大唐芙蓉
2.西安市曲江区翔悦路吉的堡翔悦天下幼儿园
3.西安市雁塔区花间路绿地国际生态城东区
4.西安市雁塔区崇业东路副 1 号
5.西安市曲江新区龙游南路吉的堡英宝幼儿园
6.西安市凤城十路世茂都小区东门吉的堡幼儿园
7.西安市莲湖区崇智路吉的堡金色悦城幼儿园
8.西安市雁塔区高新路80号吉的堡望庭幼儿园
9.西安市长安区樱花一路铂琅峯小区南门西侧吉的堡幼儿园","工作地点
雁塔区西安吉的堡望庭幼儿园
查看地图"
幼儿园实习老师/配班教师,3000-4000元,1-3年,大专,"职位描述
教师
幼儿园
早教中心
托育中心
幼师资格证
嘿，你好呀！我们正在寻找一位充满爱心和活力的成长伙伴，和我们一起陪伴宝宝们度过快乐的幼儿园时光！
你的工作将是：
1. 每天和宝宝们一起唱歌、跳舞、玩游戏，让他们在幼儿园里快乐成长；
2. 准备丰富多彩的课程，让宝宝们在玩中学，学中玩；
3. 和家长们分享宝宝们在幼儿园的成长点滴。
如果你满足以下条件，就快来加入我们吧！
1. 热爱教育事业，喜欢和小朋友在一起；
2. 有耐心、有爱心、有责任心；
3. 学前教育专业毕业，或者正在相关领域学习；
4. 有幼儿园工作经验者优先哦！期待你的加入，让我们一起见证宝宝们的成长！","工作地点
青岛李沧区书院路127号
查看地图"
高级早期教育指导师,1.2-2万·13薪,曹杨,经验不限,"职位描述
早教
1.陪同/接送小朋友上下学和课外活动安排，全方位了解小朋友的学习动态并加以监督；
2.让小朋友开拓视野，协助家长开展丰富多彩的科普、文体、艺术、劳动、阅读等兴趣爱好；
3.提供家庭教育指导服务，与孩子及家长建立良好的沟通渠道，帮助家长认识教育，了解孩子；
4.培养小朋友良好的学习、生活习惯，引导小朋友正确的价值观，提升小朋友的日常生活自理能力；
5.协助家长与学校沟通，完成家校对接，并为小朋友提供身心健康评测，给予专业解析，帮助家长了解小朋友的身心健康发展状态；
6.根据孩子在不同阶段的特点和心理，与家长一同设定可实施的孩子成长培养目标，帮助孩子全面了解自我优势，发展自己的兴趣爱好，选择合适的发展方向。","工作地点
上海市-普陀区-兰溪路119号2楼204室
查看地图"
早教全脑老师,4000-8000元,1-3年,大专,"职位描述
早教老师
岗位职责：
1. 负责早教中心各项课程的教案准备与授课；
2. 做好早教中心内后勤服务工作，负责中心环境与教具管理；
3. 负责早教中心内家庭教育指导工作；
4. 收集、整理中心教育资料，并及时归档。
任职要求：
1. 大专及以上学历，学前教育专业，具备相关岗位工作经验者优先；
2. 性格外向，具有亲和力，较强的沟通能力；
3. 形象好、气质佳，负有爱心与耐心，热爱早教事业；
4. 有早教或幼儿园实际教学经验、幼儿园教师资格证书者优先入取。","工作地点
长春朝阳区中商世界里(E门)4楼IKIDS儿童成长中心
查看地图"
国际幼儿园教师,5000-7000元,3-5年,本科,"职位描述
教师
幼儿园
幼师资格证
1. 负责3-6岁幼儿的日常教学工作；
2. 根据课程计划备课、上课；
3. 组织幼儿活动，促进其身心健康发展；
4. 与家长沟通，反馈幼儿的学习和生活情况。
要求：
1. 学前教育专业背景；
2. 有爱心，耐心，责任心；
3. 善于沟通，团队协作；
4. 有幼儿园工作经验者优先。","工作地点
呼和浩特新城区爱民街与展览馆东路交叉口东160米
查看地图"
9千起早教老师（包住+就近分配）,9000-12000元,经验不限,学历不限,"职位描述
家庭教育
早教中心
幼儿园
生活教育
25-53岁
工作职责：
1、照料小孩子日常生活照料
2、培养积极健康的兴趣爱好
3、整理玩具和环境
4、游戏互动
招聘要求：
1、身心健康；
2、经过专业的早期教育指导师培训
3、有较强的沟通、表达能力；
4、具有耐心和爱心；
5、25岁~53岁","工作地点
东莞市东城街道
查看地图"
幼儿园主班老师（语文/数学）,3000-6000元,1-3年,大专,"职位描述
幼儿园
幼师资格证
幼小衔接
【工作内容】
1、负责幼儿园的日常教学活动，确保提供高质量的教育
2、合理组织各类教育课程，激发幼儿的学习兴趣
3、制定班务工作计划,定期召开班务会
4、把握每个幼儿生理心理特点，营造温馨的班级氛围
5、与家长保持良好沟通，反馈学生的学习进展和行为表现
【任职要求】
1、大专及以上学历，学前教育或幼师相关专业，有幼师或教师资格证优先考虑
2、具备3年以上幼儿园教学工作经验
3、普通话标准,热爱学前教育事业，有爱心,有良好的职业素养
4、优秀的沟通表达能力和良好的服务意识
【福利待遇】
1、薪酬体系：无责底薪+提成，上不封顶
2、福利体系：社会保险+带薪年假+丰富的团体活动+节日礼品+子女优惠学习+免费提供住宿
公司旗下7家教育机构，遍布沈阳各行政区，面试通过可就近安排，期待您的加入！","工作地点
沈阳于洪区金色摇篮成长馆(励步北校区)
查看地图"
幼儿教师,4000-6000元,3-5年,大专,"职位描述
幼儿园
幼师资格证
普通话水平测试二级乙等证书
双语教师
岗位职责：
1、观察了解幼儿，依据国家规定的幼儿园课程标准，结合本班幼儿的具体情况，制定和执行教育工作计划，完成教育任务。
2、严格执行幼儿园安全、卫生保健制度，指导并配合保育员管理本班幼儿生活和做好卫生保健工作。
3、与家长保持经常联系，了解幼儿家庭的教育环境，商讨符合幼儿特点的教育措施，共同配合完成教育任务。
4、参加业务学习和学前教育研究活动。
5、定期向园长汇报，接受其检查和指导。
任职资格：
1、学前教育等相关专业毕业、持幼儿园教师资格证；
2、3年以上工作经验，热爱幼儿教育事业；
3、形象气质好，亲和力佳，沟通能力强；
4、有良好的语言组织和表达能力，积极进取；
5、工作有韧性，能够承受高强度的工作压力。","工作地点
泉州晋江市红黄蓝安泰世界城幼儿园
查看地图"
星际传奇电玩城招聘早教老师,6000-7000元,经验不限,学历不限,"职位描述
电玩城店员
活动专员工作内容:
1.每月各类节假日挑选节点进行门店氛围装饰布置。
2.周末及节假日高峰期门口做活动。
3.礼品机经营和美观陈列。
4.主动引导顾客游玩和讲解，场内活动喊麦 氛围喊麦。
5.每月或每周想一些门店的小活动，周末及节假日落地执行。
薪资：5500+门店分红 综合7000+","工作地点
宝安区深圳前海壹方城F3
查看地图"
幼儿培训老师,6000-12000元,1-3年,大专,"职位描述
教师
招聘职位：幼儿培训老师 3名
福利待遇： 双休+年假+保险公积金+职业技能培训+公司其他福利
薪资待遇：基本工资+岗位工资+课时费+绩效工资+提成+季度奖金+年终奖
岗位职责:
1. 经过公司培训后，能够独立、按时完成公司要求的培训授课课程。
2. 经过公司培训后，拥有独立开发、完善培训课程内容的能力。
3. 组织教研教学活动及示范课实操的练习指导。
4. 配合招生、招商示范课的进行。
5. 能够设计和组织课堂互动，知识面广，有创新精神。
6. 课后能和家长进行有效的沟通和回访工作。
7. 及时有效的处理投诉及意见。
8. 对学员后续的课程发展给予咨询指导意见。
9. 具备招生、转化和学员续课的意识和能力
10. 可以进行简单的照片和视频编辑。
任职资格：
1. 年龄25—45岁，大学专科及以上学历。
2. 文理不偏科，学习幼儿学前教育或示范类相关专业，有实际儿童教学经验者优先。
3. 普通话标准，口头表达力强，亲和力强。
4. 接受新鲜事物快，学习能力强，头脑聪明反应快。
5. 热爱教育事业，喜欢小朋友，有耐心、爱心和责任心。
6. 有记忆、逻辑思维、拼搭、速算培训教师经验优先。
7. 具有文字功底，熟练使用修图和视频编辑软件者优先。","工作地点
北京市-丰台区-马家堡路89号万利街三层
查看地图"
急聘6K-1.2K儿童陪伴师（可就近安排）,6000-12000元,经验不限,学历不限,"职位描述
无经验要求
儿童
急招几名无经验要求的儿童陪伴师，详情可咨询了解
岗位职责：
1.负责孩子的日常生活照顾和陪伴
2.情感和心理的陪伴
3.家庭和学习的沟通
4.协助孩子社交和括展的的机会
岗位要求
1.沟通能力强
2.性格活泼并积极向上","工作地点
成都武侯区人居柏荟城荟瑞阁-1栋1栋
查看地图"
幼儿教师,5000-10000元,经验不限,大专,"职位描述
教师
早教
幼师
线下授课
坐班
培训机构
助教
培训/辅导服务
岗位职责：教授小学生书法，硬笔和软笔
任职要求：
1、热爱书法教育事业，具有良好的教室职业操守和教学服务意识；
2、教育相关专业毕业，具有一定的代课经验。
3、熟练掌握教学方法，准确判断学员的学习进程及方向。
4、沟通能力较强，具有较好的领悟能力和学习能力，能够吃苦耐劳，具有团队协作能力。
5、具有教学经验者优先。
6、大专及以上学历。
7、20-26周岁
8、薪资：底薪+课时费+提成
福利待遇：双休、五险、寒暑假、提供住宿","工作地点
太原小店区一墨书院(保利馆)迪美儿教育二楼
查看地图"
高薪儿童指导师,6000-12000元,无经验,中专/中技,"职位描述
双语教师
英语
乐高课程
培训机构
幼师资格证
普通话水平测试一级甲等证书
普通话水平测试一级乙等证书
岗位内容：
1. 实施幼儿教育计划并监督学生学习进展；
2. 管理教室和学生行为，维持一个安全、积极的学习环境；
3. 与家长协商沟通，创建亲密的师生关系。
任职要求：
1. 拥有不少于两年的幼儿教育工作经验；
2. 具有幼儿或相关领域的本科及以上学历；
3. 热爱幼儿教育且具有耐心和细心的态度；
4. 能够主动解决问题且善于沟通交流。","工作地点
成都双流区远大·海湾云锦
查看地图"
幼儿园主教,1.4-1.6万·13薪,1-3年,本科,"职位描述
幼师
双语教师
线下授课
幼师资格证
【岗位职责】
1. 负责与班级外教完成本班班级教学板块工作；
2. 负责班级管理工作，包括但不限于教育教学、保健保育、卫生安全板块工作，统筹并落实班级老师工作；
2. 负责家校沟通工作，撰写幼儿日常评估报告，保持与家长的高频率沟通；
3. 协助园区进行环境创设的同时，打造本班级的环境创设及区角设计；
4. 配合上级安排的其它相关工作。
【任职要求】
1. 学历统招本科及以上，学前教育相关专业；持有教师资格证；
2. 一年及以上幼儿园、国际学校全职教学工作经验；
3. 英文四六级及以上，能够做到可日常沟通；
4. 具备亲和力，统筹能力、团队沟通能力、一定的抗压能力等；
5. 喜欢孩子，热爱教育行业；
6. 优秀海归/硕士学历应届生亦可考虑。
工作时间：周一至周五 享受带薪寒暑假","工作地点
深圳福田区BENEBABY本一幼儿园1-3楼
查看地图"
保教主任（二七区）,5000-6000元,5-10年,大专,"职位描述
幼师
教师
教学管理
岗位职责：
一、做好全园教师素质提高、专业技能培训等业务工作。有计划地组织教师业务学习。组织好园内教师的各项观摩、竞赛、评估等活动。
二、认真审批教师的学期计划和总结、教育教学计划、周安排表、教育笔记、教学效果反思、个案分析、观察记录等案头工作，负责、公平、公正地做好各项检查评估工作。
三、深入教学一线，检查、指导保育、教育工作情况，定期考核教师、保育员工作，有检查、有记录、有考评，不断提升教育教学质量。
四、组织开展教科研工作，协助教学园长主持召开园级教研会，指导教研组长召开年龄组教研会，指导班长召开班务会、家长会，做好经常性的家长工作，开展形式多样的家园联系及各类开放活动，及时反馈家长意见，协调家园关系，不断提高保教工作质量。
五、做好保教档案管理工作，建立教育、科研档案，档案分类入柜，科学管理，摆放有序，索引明确，查找方便，有效发挥其作用。
任职要求：
一、学前教育专业大专及以上学历，有教师资格证
二、5年以上学前教育行业工作经验，2年以上幼儿园管理经验；熟悉幼儿园保教管理常规工作流程及各项工作要求。
三、 良好的学习、沟通和协调能力，有创新意识。
四、熟练运用办公自动化软件，如excel、word、PPT等：
职位福利：包吃、包住、全勤奖、补充医疗保险、带薪寒暑假、节日福利、五险、周末双休

职位亮点：集团园，福利好，晋升空间大","工作地点
郑州二七区旭辉有园-幼儿园春天里幼儿园
查看地图"
早教师,1-2万,经验不限,大专,"职位描述
培训机构
岗位内容：
1. 对幼儿园教学计划进行规划和实施；
2. 提供安全、健康和积极的学习环境，并管理学生行为；
3. 与家长沟通，提供学生进步报告并解答家长疑惑。
任职要求：
1. 具备教育学或相关领域本科及以上学历；
2. 至少三年相关工作经验；
3. 了解幼儿教育课程和教学法；
4. 具有愉悦性格、责任心和协作精神。","工作地点
深圳南山区粤海街道
查看地图"
主教老师,4000-7000元,5-10年,本科,"职位描述
亲子教育
学前教育
心理教师
1、做好本班教育教学的各种计划，并根据计划开展教育教学工作。
2、认真备课及进行课堂教学，以游戏为主要形式，运用直观形象的教具，力争取得良好的教学效果。
3、执行幼儿一日生活常规及教师一日生活规程。
4、注重幼儿的个体差异，因材施教，并采取一系列有效措施，使每个幼儿得以充分发展。
5、和家长取得联系，了解幼儿的家庭教育环境，商讨符合其幼儿的教育措施。
6、做好幼儿入园、离园的组织工作。
任职资格：
1.热爱幼教工作，身体健康，具有较强的学习能力，能够不断学习，提高自身素质。
2.学前教育专业或者英语教育专业大专及以上学历。
3.年龄在30周岁以下；具有2年以上国际幼儿园幼教工作经验优先，有专业特长的年龄可放宽到35周岁。
4.具有幼师或教师资格证，英语等级证者优先。

职位福利：五险一金、包吃、带薪年假、全勤奖","工作地点
重庆两江新区金德凯顿国际幼稚园(观澜园)
查看地图"
