职位,薪水,经验,学历,关键词,工作地址
桂城-社工科文员,3000-4000元,经验不限,中专/中技,"职位描述
卫生服务
（急招）桂城-社工科文员1名
一、工作内容
1、协助开展医院社工工作、检查、评估、执行医院志愿服务活动等。
2、社工活动策划执行、宣传推广、文书整理等。
3、科室安排的其他工作。
二、任职条件
1、年龄40岁以下，中专及以上学历、社会学、社会工作学专业优先；有社工资格证，形象佳，国语粤语流利；能尽快到岗。
2、熟练掌握计算机office常用办公软件，具有良好的沟通能力，服务态度好。身心健康，政治素质好，能胜任工作。
3、其他要求：着装避免花哨、夸张，不得佩戴过多饰品。
三、薪资福利
1、综合薪资：3500-4100元/月。
2、福利待遇：购买社保、公积金、法定节假日加班补贴、不提供住宿。
3、劳动关系：隶属我司。
四、工作时间及地点
1、工作时间：常白班：08:00-12:00,14:30-17:30；月轮休4天。
2、工作地点：佛山市南海区桂城街道夏东路23号。","工作地点
广东省人民医院南海医院佛山市南海区桂城街道夏东路23号
查看地图"
专职社工,3000-5000元,1-3年,大专,"职位描述
社区人员管理
养老助老
社会福利
岗位内容：
1.与长者建立关系，提供心理支持和服务提供情感支持和心理咨寻
2.了解老人个性化需求，制定服务计划并跟进
3.策划并开展文娱活动，丰富老人生活
4.记录长者日常生活，配合新媒体短视频制作并整理存档
5.协助申请福利政策、联系志愿者或社会资源解决老人实际困难
社工证优先！性格活泼开朗能带动气氛，幼师专业能歌善舞者优先
任职要求：有相关工作经验者及心理咨询师证等优先，熟练掌握办公软件，熟悉手机视频拍摄，性格开朗活泼，多才多艺，有组织文娱活动的热情及能力，有较强的团队协作能力","工作地点
哈尔滨松北区学山街866号
查看地图"
社区养老专员,5000-8000元,1-3年,大专,"职位描述
社区人员管理
养老助老
居民调解
社区文化管理
岗位内容：
1. 提供公共服务、支持社区成员解决日常问题。
2. 开发和维护联系和资源，并协调社区活动。
3. 记录、汇总和分析数据以支持项目和策略发展。
4. 促进和参与人员培训、工作坊和小组讨论。
5. 维护相应记录、文件和档案。
任职要求：
1. 具有相关领域的经验和知识，或在相关领域有类似工作经验。
2. 出色的人际交往、沟通和协调技巧。
3. 对多元文化和不同年龄范围的人有思考、洞察和理解能力。
4. 能够快速适应变化和响应复杂问题的能力。
5. 独立工作和与他人合作的灵活性和效率。","工作地点
南昌东湖区国资产业大厦
查看地图"
一线社工（无锡）,4000-5000元,1-3年,本科,职位描述社会工作社区服务关系维护品牌输出岗位职责：1、运用个案、小组、社区等工作方法为少年儿童、残疾人、老年人等开展专业服务；2、协助负责项目活动方案的设计、执行、编档、宣传等；3、协助负责项目相关方的沟通、联系、协调等；4、协助负责相关资源的对接、协调、开发等。 岗位要求： 1、有监管评估、社区服务、协商民主、帮扶救助等项目完整的工作经历，该经历不少于2年； 2、具有公益价值追求，热心公益事业；    3、有志愿服务或公益项目参与经历，具有一定的心理抗压能力、执行能力和组织协调能力；      4、熟练使用办公软件、设计软件，熟练掌握微信公众号图文编辑工作；       5、有较好的团队意识、责任意识和保密意识；          6、社会工作专业，持有社工证。,"工作地点
无锡市锡山区民政局221室乐助社工
查看地图"
老年活动社工,3000-5000元,经验不限,本科,"职位描述
养老助老
岗位内容：
1.与长者建立关系，提供心理支持和服务提供情感支持和心理咨寻
2.了解老人个性化需求，制定服务计划并跟进
3.策划并开展文娱活动，丰富老人生活
4.记录长者日常生活，配合新媒体短视频制作并整理存档
5.协助申请福利政策、联系志愿者或社会资源解决老人实际困难
社工证优先！需要性格活泼开朗能带动气氛，幼师专业能歌善舞者优先
早八晚五单休
任职要求：有相关工作经验者及心理咨询师证等优先，熟练掌握办公软件，熟悉手机视频拍摄，性格开朗活泼，多才多艺，有组织文娱活动的热情及能力，有较强的团队协作能力","工作地点
哈尔滨市-松北区-学山街866号
查看地图"
专职司法社工,4000-5000元,梓潼,1年以下,"职位描述
司法矫正
社工
法务专员
心理咨询师
律师助理
司法社工：
负责为社区矫正对象和安置帮教对象提供专业的社会工作服务。
工作内容：
包括个案工作、小组工作、社区工作、政策咨询等。
岗位要求：
1. 具有专科及以上学历，社会工作、心理学、社会学、法学等相关专业优先；
2. 持有社工师证、法律资格证或心理咨询师证者优先；
3. 具备良好的沟通能力和团队合作精神；
4. 熟悉社会工作方法和流程，能独立处理个案；
5.有社区矫正相关工作经验者优先；
6.退伍军人、持有C1以上驾驶证者优先；
7. 对社会工作有热情，有责任心；
8.购买五险一金，转正后享受带薪年假、节假日福利等；
9.转正后薪资待遇为3600-4800元/月，实际工资根据工作能力而定
10.工作地点主要在成都市锦江区。","工作地点
成都锦江区金山大厦(武成大街)
查看地图"
社工实习生,1000元以下,无经验,中专/中技,"职位描述
写作
社会工作
社会学
教育学
社区人员管理
社区文化管理
社会调查
残障康复
中专及以上学历；
2、能熟练掌握办公软件；
3、热心公益，对社工有激情，富有责任感、有使命担当；
4、承接的项目执行和文案工作；
5、性格开朗、善于沟通，有一定的文案写作能力；
6、党员、持社工证、会开车或有工作经验优先；
7、社会工作、社会学、教育学、心理学、社区管理等相关专业优先，

职位福利：节日福利、包住、定期团建、优秀员工奖金、转岗/轮岗机会、鼓励内部创新

职位亮点：1、提供免费住宿；2、定期机构团建","工作地点
成都崇州市老年活动中心
查看地图"
社区矫正社工（社会工作者）,6000-9000元,1-3年,本科,"职位描述
公文写作
项目管理
司法矫正
一、岗位职责
1.协助司法行政工作人员开展调查委托评估工作，起草委托调查评估意见；
2.协助司法行政工作人员开展社区服刑人员的接收、登记、宣告、查找、走访、核查，以及法律文书和表簿册的填报、审查、送达等工作；
3.协助司法行政工作人员掌握社区服刑人员的基本情况，制订矫正方案；
4.协助司法行政工作人员对社区服刑人员开展心理健康服务包括对轻微心理问题的发现和识别、简单心理问题的处理、严重心理问题的转介处理等；
5.协助司法行政工作人员开展集中教育、社区服务以及“一对一”或“多对一”的谈话教育；
6.协助司法行政工作人员开展做好社区服刑人员档案资料的收集和整理工作；
7.协助司法行政工作人员制定并完善本区社区矫正有关工作制度和工作流程；
8.协助司法行政工作人员开展安置帮教、社会适应性帮扶等工作；
9.全面掌握我区刑满释放人员情况，及时排解风险隐患，切实维护合作区和谐稳定，做好安置救助工作；
10.对有需求的刑满释放人员，落实安置政策、提供救助政策指引，协调安置帮教成员单位对符合政策的落实社会救助措施，解决刑满释放人员的实际困难；
11.做好跟踪帮教工作，掌握刑满释放人员情况，明确帮教责任人，开展帮教活动；
12.完成区党工委、管委会和区党政办安排的其他工作。
工作地点：深汕合作区
二、任职要求
1统招本科及以上学历，社会工作专业及相关专业并取得助理社会工作师或以上的证书优先考虑；
2.具备不少于一年的社区矫正工作经验（有区级工作经验的优先考虑）；
3.具有良好的人际交往能力、公文写作能力，熟练运用office办公软件；
4.热爱社会工作，具有社会责任感和敬业精神，遵守职业操守及用人单位的管理制度；
5.熟练驾驶车辆的优先考虑。
三、福利待遇
1.可协助申请公租房。
2.带薪年假、五险一金、周末双休、节日福利及高温补贴","工作地点
深圳龙华区指南针社工服务中心海丰县深汕大道
查看地图"
社区治理、社会组织孵化社工,5000-8000元,经验不限,本科,"职位描述
社区社会组织
社区治理
孵化
社区文化管理
社团/组织/社会保障
一、岗位职责：
1.负责社区社会组织孵化工作；
2.运用社工专业手法，开展社区工作，为不同的社区社会组织提供专业服务；
3.深入社区，与社区内社区社会组织对接，挖掘社区领袖、培育社区自组织，使得社区社会组织更加规范；
4.与项目资助方保持良好的沟通协调、定期汇报；
5.领导交办的其他任务。
二、任职要求：
1.本科及以上学历，需为社会学、社会工作、公益管理以及相关专业；持有社会工作师证、熟悉社区治理相关工作者优先；
2.具有较强的文字综合能力，熟练应用Word，Excel等常用办公软件；
3.有较强的沟通协调能力、环境适应能力及灵活应变的能力；
4.诚实守信、有契约观念、目标导向、积极乐观、价值观正向；
三、工作地点：
海淀区知春路

职位福利：五险一金、包吃、加班补助、项目奖金、周末双休、节日福利、绩效奖金、包住","工作地点
北京海淀区学清路
查看地图"
社工实习生,100-120元/天,,大专,"职位描述
养老助老
完成实习部门老师交于的工作
实习区域：虹口","工作地点
上海虞夏大厦虹口区水电路1388号11楼
查看地图"
【东城区美康项目】社工岗位,6000-8000元,光明楼,1-3年,"职位描述
养老助老
老年公寓
活动组织
社工证
工作内容：
1.协助开展机构调研及需求分析。
2.参与策划并执行机构活动（如老年人关怀等）。
3.协助个案跟进与档案记录。
4.配合团队完成服务对象走访与反馈收集。
5.撰写简单的活动总结报告。

任职资格：
1.大专及以上学历（社会工作、社会学、心理学等相关专业）。
2.了解社会工作基本方法（个案/小组/社区工作）。
3.具备同理心，善于倾听，能适应一线养老机构工作环境。
4.有养老机构社工经验优先。","工作地点
北京东城区美康大厦
查看地图"
教育机构负责人（儿童社工）,4000-7000元,南市,1-3年,"职位描述
教育机构负责人
教育机构教师
青少年服务
儿童服务
少儿教育机构
一、岗位职责：
1. 负责儿童友好活动空间的日常营造、维护与安全管理工作。
2. 独立策划并执行涵盖社交、情绪、各项素质能力发展等主题的儿童系列小组活动或社区项目。
3. 开展儿童个案服务，进行需求评估、介入计划、过程记录及效果评估，建立并更新系统化成长档案。
4. 协助对接并整合社区、学校、志愿者等外部资源，支持服务开展。
二、岗位要求：
1.核心能力：掌握儿童心理与发展阶段特点，能独立带领儿童活动，具备良好的沟通表达与活动文案撰写能力。
2.经验背景：有儿童活动策划与带领经验。社工、学前教育、心理学等相关专业背景优先。
3.资质优先：持助理社工师或以上职业水平证书者优先。","工作地点
天津和平区新文化花园新丽居-D座
查看地图"
中级社工,8000-10000元,5-10年,大专,"职位描述
中级社工
安宁疗护
心理疏导
心理学
医学
护理
高级社工
养老助老
危机干预
舒缓疗护
临终关怀
一、资质要求​
1.持证要求：持中级及以上社会工作者资格证。​
2.学历与专业：大专及以上学历，社会工作、社会学、心理学、医学、老年服务与管理等相关专业优先。
​
二、专业知识​
1.核心理论：掌握社会工作基础理论与实操技巧，精通老年社会工作及陪伴相关理论应用​
2.陪伴与服务认知：理解老年陪伴的情感支持核心，熟悉养老政策与老年心理知识，掌握兴趣陪伴、安全防护等常识。​
3.跨学科基础：具备心理学、社会学知识，掌握老年心理特点，理解心理疏导与危机干预在陪伴中的应用。​

三、技能要求​
1.沟通协作：善于倾听表达，能与老人及家属建立情感联结。​
2.专业实操：具备心理疏导、个性化陪伴计划制定能力；能应对情绪危机，掌握回忆疗法等精神互动技巧。​
3.工具与文字：熟练使用办公软件，能规范撰写陪伴服务记录、个案报告等文档。​

四、经验要求​
1.优先有养老陪伴、社区助老相关工作或志愿经历者；​
2.需5年以上社会工作经验，其中至少2年老年陪伴或养老助老服务经验。​

五、职业素养​
1.价值观：有责任心、爱心与同理心，尊重老人隐私与尊严，关注其精神需求。​
2.工作态度：耐心细致，具备团队精神，愿意持续学习并长期投身养老事业。","工作地点
龙岗区深圳龙城医院
查看地图"
养老院社工,3000-5000元,1-3年,学历不限,"职位描述
养老助老
1.负责机构老人娱乐活动、策划、执行
2.性格开朗大方、有主持经验优先","工作地点
青岛市-城阳区--书雨路115号
查看地图"
社工实习生,90-100元/天,滨河,,"职位描述
养老助老
岗位职责：
1、 负责日常社会工作的组织与实施；
2、结合长者需求、风险评价及意愿，负责机构长者社工活动策划、组织实施；
3、出于个案管理的特定目标与住户关系人进行沟通，对有需求的住户进行个案关怀访视；
4、组织建立和维护入住长者的社工档案，建立并维护入住长者的社工档案，完成相关业务报表；
5、协助开展心理咨询和精神慰藉，入住长者评估工作；
6、完成领导安排的其他工作。
任职条件：
1、性格外向、活泼，擅长组织、策划长者活动；
2、熟练运用办公软件及视频剪辑类软件，有良好的文书写作能力；
3、认同公司的核心价值观，热爱老年社工工作；
4、有良好的沟通协调、团队合作及良好资源整合能力者优先；","工作地点
北京大兴区寿山福海养老服务中心(大兴黄村院)
查看地图"
26届毕业生-生活管家(J77733),120-150元/天,,本科,职位描述可转正卫生服务养老助老  岗位职责:  1、住户评估：协调安排并参与住户的各类评估。  2、服务方案：参加个案研讨，为住户制定、执行和更新服务方案。  3、住户关系人沟通：出于个案管理的特定目标与住户关系人进行沟通。  4、关怀访视：对有需求的住户进行个案关怀访视。  5、个案与小组工作：结合住户需求、风险评价及意愿，开展个案或小组活动。  6、功能性活动服务：根据住户需求，策划和实施功能性活动。  7、对住户各类服务产品需求进行研究，为各专业提供服务产品开发的建议。  8、住户档案：组织建立和维护住户的社工档案。  9、建立并维护住户的社工档案，完成相关业务报表。  10、完成领导交办的其他工作。  任职要求:  1. 学历要求：本科及以上学历，护理、社会工作、心理学等相关专业优先。  2. 技能要求：具备良好的沟通能力、组织能力及应变能力，能够独立处理突发情况。  3. 个人素质：具有耐心、爱心、责任心，能与老年人建立良好的互动关系。  4. 知识要求：了解基本的护理知识和老年人常见疾病，有急救培训的相关证书优先。  5. 语言要求：普通话流利，会当地语言或方言者优先。  6. 其他要求：敬业精神强，能适应灵活的工作时间安排。,"工作地点
长春南关区泰康之家·吉园
查看地图"
养老中心运营部长,3000-5000元,3-5年,大专,"职位描述
养老助老
文娱活动
运营
岗位职责
1、制定养老中心社工服务年度计划，优化服务流程，落实养老政策与行业标准；
2、负责社工团队建设、培训、绩效考核及日常督导；
3、统筹中心入退住咨询与办理、民政系统信息录入、机构参观接待等行政事务等；
4、招募、培训及管理志愿者团队，利用志愿者资源丰富老年人的生活，如组织文化娱乐活动等。
5、定期开展老人满意度调查，分析数据并推动服务改进；
6、老年大学活动策划、策划短视频/新媒体宣传内容，提升机构入住率；
7、联动医疗、护理团队及外部资源（社区、公益组织），构建长者支持网络。
8、处理老年人及其家属的紧急情况或突发事件，提供必要的心理支持和社会资源链接。
9、领导交代的其他任务
任职要求：
1、要求社会工作、老年服务管理、心理学或相关专业的大专及以上学历，有爱心责任心和团队管理能力。
2、拥有至少4年养老服务行业工作经验，其中包括不少于2年的团队管理经验。
3、熟悉国家养老政策法规及行业标准。
4、具有策划与执行能力、新媒体运营技能，能够有效提升机构的服务质量和入住率。
5、持有社会工作者职业资格证书优先考虑。
可提供住宿 有通勤车 上班时间8：00-16:30","工作地点
浑南区沈阳市养老服务中心
查看地图"
双休社区工作者,6000-10000元,燕莎,1-3年,"职位描述
居民调解
社区文化管理
养老助老
福利待遇：看个人能力 好的综合1万➕，双休法休 五险一金
岗位职责：
社区相关工作，办公室办公。
任职要求：
35周岁以上，长期稳定","工作地点
北京市朝阳区新源南路1-3号
查看地图"
一线社工（养老专项）,4000-6000元,1-3年,大专,"职位描述
养老助老
社会工作
应聘要求
1.社会工作或相关专业专科（含）以上学历，持有助理社工师。如持中级社工师证的优先考虑待遇从优；
2..2年以上居养专项工作经验，热爱社工事业，熟悉相关领域社会工作的理念与流程，能灵活运用社会工作专业理论知识、工作技巧等开展社会工作服务，有独立开展活动的能力；
3.具有社会责任感、敬业精神和一定的奉献精神；具备良好的沟通协调能力和团队合作精神，有相关的社会工作服务经验者；
4.熟悉操作日常办公软件，擅长文书写作。
工作内容
1.根据中心制订的工作计划，积极开展、跟进、完成各项工作任务；
2.在中心服务板块内，直接参与服务项目的策划和组织，综合运用个案、小组和社区等工作手法为服务对象开展适当的服务；
3.与服务对象保持密切联系，主动了解他们的需要，切实为之排忧解难；
4.联动服务资源，做好服务服务资料记录与整理；
5.完成上级交办的各项工作和任务。
工作地点：天河区石牌街龙怡路89号
1.被录用人员试用期1-2个月，签订正式《劳动合同》，应届生见习期满合格的直接转正；机构严格按照国家和广东省有关法律政策为员工购买社保、住房公积金（个人需缴纳社保、公积金费用个人部分及个人所得税）。
2.员工福利应有尽有！各类节假日津贴、高温津贴（每年6-10月）、工龄津贴、培训津贴、免费体检、团建旅游、全面的商业保险体系（人寿保险、重大疾病、住院医疗、意外险等）、绩效考核奖金等各类奖金。
3.薪酬待遇、带薪年假随工作年限递增。
4.广阔的晋升空间，内部提拔机会多。
5.实习生可与正式员工享受同等的督导、培训机会。
6.最重要的是，这里有一支相互学习、共同进步、团结有爱且有追求的活力团队。
有意者请将个人简历（附小一寸近照），广州投递至邮箱（在邮件和简历标题标注“应聘嘉禧（职位）姓名+应聘项目+年龄”，例“应聘嘉禧（一线社工）张三 长者服务专项 25 ”），简历通过初审者将于五天内收到中心人事专员电话或邮件回复。参加面试时请带齐个人的相关证书及身份证件。申请人所提供的资料将予保密，并只作招聘有关职位用途，有关资料将于收到三个月内销毁。","工作地点
广州天河区综合养老服务中心
查看地图"
社工/活动策划-----温江驻点-免费提供住宿（橙子社工文化中心）,4000-6000元,3-5年,本科,职位描述社区人员管理岗位职责：1. 负责社区项目活动的全流程，方案策划到落地执行全过程；2. 沟通对接相关人员及部门，保障项目落地效果。任职要求：1. 本科学历，有社工或活动策划相关项目全流程经验优先；2.积极主动，执行能力强，有团队合作和自我驱动能力。 3.可以接受有社工实习经验应届生。       免费提供住宿   能岗位单双休（月休6天），法定节假日正常放假；       上班时间 9-12:10 14:10-18：00             校办企业：创新"专业赋能+多元共治"社区规划模式。打造全市亮点社区规划、社区品牌累计40余个（包含抚琴西南街、大面五星社区等），连续5年获得成华区城视成画社区规划一等奖。校企负责人荣获成都市十佳社区规划师。        校办企业：深化参与式院落治理，旨在形成"硬件提质+机制赋能"双轮驱动治理模式。参与向龙小区、龙华居小区、西北街老旧院落改造等30余处老旧院落改造及院落微更新，连续3年获得成都市全市微更新比赛一等奖。,"工作地点
成都温江区太极社区党群服务中心
查看地图"
养老社工,4000-5000元,经验不限,大专,"职位描述
养老助老
岗位职责：
1. 针对服务对象进行服务需求调研；
2. 服务点的日常管理工作，
3. 按照服务计划筹划和组织实施小组/个案/社区等专业社工服务；
4. 提供长者配餐、养老服务向导等恒常服务；
5. 及时进行相关服务活动的报道宣传工作；
6. 服务站志愿者及义工的开发、培养和管理工作；
7. 按时制定岗位工作计划及服务总结；
8. 维护和保持政府部门等合作方的良好关系；
9. 领导安排的其他工作。

职位要求：
1、专业不限，社会工作或心理学相关专业优先考虑；
2、大专及以上学历，1年社会服务工作经验，优秀应届毕业生可考虑；
3、热爱社工事业，熟悉相关领域社会工作的理念与流程，能灵活运用社会工作专业理论知识及工作技巧开展社会工作服务，有独立开展活动的能力；
4、熟悉长者服务特点，能够针对服务对象的特点研发特色服务；
5、熟悉公文写作，具备较强的文字表达能力；
6、具有社会责任感、敬业精神和奉献精神，具备良好的沟通协调能力和团队合作精神。
周末双休，五险一金等","工作地点
广州天河区棠下街综合养老服务中心(颐康中心)
查看地图"
专职社工,5000-8000元,1-3年,大专,"职位描述
养老助老
残障康复
社区人员管理
卫生服务
岗位内容：
1. 提供公共服务、支持社区成员解决日常问题。
2. 开发和维护联系和资源，并协调社区活动。
3. 记录、汇总和分析数据以支持项目和策略发展。
4. 促进和参活动、工作坊和小组讨论。
5. 维护相应记录、文件和档案。
6.联动机构资源为客户解决实际性问题。
任职要求：
1. 具有相关领域的经验和知识，或在相关领域有类似工作经验以及社区资源。
2. 出色的人际交往、沟通和协调技巧。
3. 对多元文化和不同年龄范围的人有思考、洞察和理解能力。
4. 能够快速适应变化和响应复杂问题的能力。
5. 独立工作和与他人合作的灵活性和效率。
本工作岗位招聘2位人员，一位在工作地点在顺德健翔医院，一位在禅城健翔骨伤医院。","工作地点
禅城区佛山健翔护理院
查看地图"
社工 养老院,5000-6000元,常营,1-3年,职位描述社会工作心理学养老助老活动策划视频剪辑  1、收集各部门活动计划，制作本院活动计划汇总表，发至各部门。  2、协调医护部、护理部制作院内老人集体活动计划表，并依计划日期进行活动执行工作。  3、负责院内老人活动策划工作，形成本院特色活动，并尽可能多的覆盖到院内在住老人参加。  4、负责汇总楼层活动执行表，对楼层活动的开展进行检查、监督、评估，对护理员进行楼层活动指导。  5、负责建立、联系、引入外部活动资源，不断丰富在住老人的精神文娱生活。  6、负责每次活动的记录工作，制作活动记录档案，每月5日前提交上月活动存档至院办主管。  7、协助营销部进行外部活动开展。  8、对在住老人进行心理慰藉，挖掘老人的性格喜好，在保有院内个性活动的基础上，做好活动创新。  9、协助营销部做好抖音、快手、订阅号、公众号等媒体的素材提交工作。  9、协助院办主任组织院内员工活动、年会、机构节日活动。  10、进行活动宣传文案的撰写、排版、存档工作。  11、院办主任分配的其他工作。职位福利：五险、包吃、包住、节日福利,"工作地点
北京市朝阳区恒阳老年公寓
查看地图"
残障人士招聘专员,2000-4000元,1年以下,大专,"职位描述
居民调解
社区人员管理
社区文化管理
岗位内容：
1. 提供行动支持和资源协调。
2. 管理案件并执行健康计划。
3. 执行必要的家访以实现儿童保护。
4. 支持建立可靠、稳定、安全的关系网络。
5. 利用经验、教育和背景来帮助客户克服障碍。
任职要求：
1. 拥有卫生保健、社会服务、心理学或相关专业的学士学位。
2. 具备至少三年的相关领域工作经验。
3. 精通数据管理、报告撰写和分析技能。
4. 良好的时间管理和多任务处理能力。
5. 明确的思维、团队合作和自我驱动的能力。","工作地点
吉林省长春市二道区营口路956号
查看地图"
社工主管,6000-10000元,3-5年,大专,"职位描述
养老助老
岗位职责：
1.负责日常活动的实施工作；
2.负责为机构提供专业化、规范化、标准化个案、小组活动等；
3.负责机构长者的探访工作；
4.负责协助长者参与各项社会活动、促进与他人的互动；
5.负责对公共区域内活动设备设施日常维护，更换、报修等监管工作；
6.公众号、短视频平台素材整理及编辑；
7.认知特色楼层活动课程设计及实施；
8.领导交办的其他工作。
任职要求：
1.持有中级社工资格证书，具备本科及以上学历，社会工作、心理学及老服相关专业；
2.热爱养老行业，有责任心，有较强的创新能力和团队协作能力，可以承担一定的工作压力；
3.具有较高的执行能力，亲和力强，形象佳，有主动服务意识；
4.1-3年以上工作经验，养老相关行业1年以上工作经验，有认知活动经验优先；
5.熟练使用办公自动化设备及各种办公软件。
来源：BOSS直聘
链接：https://www.zhipin.com/web/geek/jobs?city=101010100&query=%E7%A4%BE%E5%B7%A5","工作地点
北京通州区西集镇开发区
查看地图"
项目社工（街道社工站）,4000-5000元,1-3年,本科,"职位描述
社会工作
社工站
社团/组织/社会保障
1.持有“助级社工师”及以上资格证书；
2.认同社工理念，乐于与服务对象沟通交流；
3.能熟练运用社工专业手法开展服务，按照要求完成社工站年度服务指标；
4.具有良好的沟通能力和团队协作精神，对项目进行整理把握管理；
5.具有一定的文字写作功底，能处理社工日常文书工作；
6.有社工站、社工行业服务经验（或义工经验）、优先招录。
职位福利：五险一金、节日福利、周末双休、生日福利","工作地点
武汉洪山区向家尾村
查看地图"
社会救助项目一线社工,3000-5000元·13薪,1-3年,大专,"职位描述
关爱援助
社工
社工宣传
社会救助
社会福利
1. 招聘人数：1人
2. 工作地点：成都市金牛区
3. 岗位职责：
（1）在负责人的带领下，具体开展项目执行；
（2）定期收集项目进展、困难等信息，做好统计分析；
（3）负责项目宣传推文撰写，加强项目宣传；
（4）做好工作记录，保存工作资料，定期汇报工作情况和问题；
（5）完成领导交给的其他工作和任务。
4.任职要求：
（1）具有社会工作、社会服务、管理学、社会学、心理学等相关专业专科及以上学历； （2）持有中级（或以上）社会工作师职业资格证，在相关社会工作机构有1年以上的专业服务工作经验，有1个以上项目管理经验； （3）有良好的文字记录、数据分析及撰写报告的能力； （4）有良好的沟通协调能力； （5）热爱公益事业，能够利用自己的专业知识，提供满足服务对象需要的专业服务； （6）能够服从组织安排，有良好的团队协作能力； （7）能熟练运用Word、Excel、PPT等相关办公软件。 
5.薪酬待遇：
根据学历、资质及工作经验，5-8万元每年、购买5险1金、年终奖金，特别优秀者薪资可面谈；另享有带薪年假、专业督导，以及各种培训进修机会。","工作地点
成都金牛区首开·龙湖紫宸香颂
查看地图"
社工,4000-5000元,1-3年,大专,"职位描述
社工
岗位职责：
1、负责全年保障资金项目书的撰写，包括不限于活动物料支持、线上线下传播计划、活动执行；
2、根据活动节点跟踪效果，梳理执行问题，并及时总结修正方案；
3、与团队同事紧密沟通，深度了解不同客户需求；
岗位要求：
1、线下、线上活动策划经验，认同机构理念；
2、社会工作及社会工作相关专业大专及以上学历，持有社工证且社工经验一年以上，有幼师或者儿童培训机构工作经验优先；
3、有良好的沟通协调能力、较强的办公文书、分析及撰写报告的能力；
4、热爱公益事业，愿意踏实做事；
5、能够服从机构安排；
6、能熟练运用Word、execl、PowerPoint等办公软件
工作时间：
1、朝九晚五点半、周末双休、法定节假日休
福利待遇：
1、基本工资4-5K+提成（上不封顶）+全勤奖（薪资高于同行业平均水平）；
2、节日福利：
（1）每月为每位员工准备了生日礼物；
（2）员工入职满一年会享受带薪年假福利；
（3）端午节、中秋节节日礼品福利；
3、员工活动：
（1）每年举行一次年会活动并且有大额的礼品领取；
（2）公司周年庆吃喝玩乐，夏季欢乐耍水团建活动等等；
（3）完成业绩的团队每年一次公费旅游活动；
地址：温江区新光天地写字楼1501号","工作地点
成都温江区新光天地写字楼
查看地图"
一线社工,7000-9000元,1-3年,硕士,"职位描述
社区人员管理
一线社工
注：应聘人员简历请附照片，条件需完全符合要求；
请应聘人员务必看清条件再投简历。
工作时间：每周工作五天，休息两天，若有加班，可安排自主调休。
工作地址：
大鹏南澳党群服务中心
任职要求：
1.硕士学历，社会工作相关专业；
2.已通过国家社会工作职业水平考试,取得社工师证书者；
3.性格开朗、亲和力强、善于合作、具有较强的团队协作精神；
4.熟悉电脑及办公室日常文档处理，具备良好的写作基础；
5.认同机构价值理念，热心公益，愿意投身社会工作事业；
6.会拍摄、制作视频，会策划、撰写拍摄脚本。
1.按深圳市薪酬标准发放社工工资，购买5险1金，不提供食宿；
2.中秋、春节等节日津贴及年终奖；研究生学历补贴300元；
3.工作满一年后增加工龄工资100元，可享受5天带薪年假；
4.符合条件的社工机构可帮助申请人才安居补贴；","工作地点
深圳龙岗区南澳社区党群服务中心
查看地图"
爱心岗位（残疾人岗位）,2000-3000元,经验不限,初中及以下,"职位描述
行政-后勤
无精神类疾病，年龄50岁以下，男女不限","工作地点
衡阳市珠晖区裕华大道
查看地图"
养老社工,6000-8000元,1-3年,大专,"职位描述
养老助老
社会救助
岗位职责：
1、负责与政府相关部门（如街道内的相关部门及各社区党群服务中心人员）的日常沟通与关系维护，及时了解政策动向与项目信息。
2、独立完成政府购买服务项目投标资料、方案撰写、预算核算及申报材料准备与提报工作。
3、负责已中标项目的落地实施，制定详细执行计划，协调内外部资源，确保项目按合同要求、时间节点及质量标准的顺利推进。
4、负责项目过程的资料收集、整理与归档；定期监测项目指标完成情况，撰写项目进展报告、中期报告及结项报告，并按要求向资助方提交。
5、 配合财务人员做好项目资金的预算执行、使用管理与报销工作，确保项目经费合规、合理使用。
6、协助完成项目的内部评估、外部审计及迎检工作，进行项目成果总结与经验提炼，配合完成成果展示与宣传。
任职要求：具有一年及以上项目管理相关工作经验，有政府购买服务项目、公益项目或社区服务项目申报、执行经验者优先考虑。
知识技能：
1、熟悉政府公文写作规范，具备一定的方案策划、报告撰写能力。
2、了解基本的财务预算及管理知识。
3、熟练使用Office等办公软件。
能力素质：
1、具备良好的沟通协调能力、组织规划能力及解决问题的能力。
2、工作积极主动，责任心强，注重细节，能够承受一定的工作压力。
3、具备良好的团队合作精神和服务意识，对养老事业有热情，有耐心。
4、具备较强的学习能力和政策理解能力。","工作地点
深圳市-福田区-莲花路1120号2楼
查看地图"
宝安区松岗街道精防实习生,50-60元/天,,大专,职位描述精防领域社团/组织/社会保障岗位职责：1、为辖区内精神障碍患者提供专业社工服务；2、为辖区居民提供心理卫生健康宣导服务。  岗位要求：  1、在校实习生，社会工作及相关专业；    2、可实习6个月优先    3、到岗时间2026年2月      工作地点：松岗街道红星、花果山、松岗社区工作站；  工作时间：工作日9:00-18:00 吃住信息：无住宿，有食堂（自费）,"工作地点
深圳宝安区红星社区
查看地图"
