职位,薪水,经验,学历,关键词,工作地址
内分泌科医生,2-4万,3-5年,本科,"岗位职责：
1.负责内分泌科患者的日常诊疗工作，包括疾病诊断、治疗方案制定及执行
2.开展内分泌相关疾病的预防保健与健康教育工作
3.参与科室临床研究及学术交流活动
4.完成医院安排的其他医疗任务
任职要求：
1.临床医学专业本科及以上学历，持有医师执业证书
2.具备3年以上内分泌科临床工作经验
3.熟悉内分泌科常见疾病的诊疗规范及操作流程
4.具有良好的医患沟通能力和团队协作精神","工作地点
天津市河东区丽滋卡尔中西医结合医院
查看地图"
内科医师,1-2万,经验不限,本科,职责描述：  1、在科主任领导和主治医师指导下，根据工作能力、年限，负责一定数量病员的医疗工作。  2、运用科学合理的方法对病员进行检查、诊断、治疗，开写医嘱并检查其执行情况。   3、负责书写门诊病历及病员住院期间的病程记录，及时完成出院病员的出院病历小结。  4、遇有诊断治疗上的疑难问题，应及时向主治医师报告。  5、住院医师对所管病员应全面负责，在下班以前，作好交班工作。  6、参加科内查房。  7、认真执行各项规章制度和技术操作常规，严防差错事故。  任职要求：  1.内科学相关专业，硕士及以上学历；  2.有相关血液或肿瘤专业实习或工作经验；  3.具有医师资格证书；  4.为人正直、责任心强，作风严谨，工作认真细致。职位福利：五险一金、餐补、免费班车、通讯补助、周末双休、定期体检、带薪年假,"工作地点
北京燕郊经济技术开发区思菩兰路 燕达陆道培医院7号楼
查看地图"
内科医师,3000-4000元,经验不限,学历不限,"1、对本岗位医疗质量医疗安全负责
2、按照岗位需求，认真完成报告汇总工作

职位福利：五险、绩效奖金、加班补助、定期体检","工作地点
哈尔滨道里区通达街451号
查看地图"
妇科医生-干细胞方向,1.5-2.5万,经验不限,学历不限,"岗位职责：
1. 负责日常内科医疗工作，包括但不限于病历记录、诊断、治疗以及护理；
2. 参与医院的急诊处理，确保及时准确地应对各类突发医疗事件；
3. 与患者沟通，提供专业的医疗建议和解答；
4. 定期参加医院组织的培训和学术活动，不断提升专业技能和知识。
任职要求：
1. 具备良好的沟通能力和服务意识，能够有效地与患者进行互动；
2. 拥有较强的判断力和决策能力，能够独立处理和解决医疗问题；
3. 具备良好的团队合作精神，能够与同事协同工作，共同完成医疗任务；
4. 对于紧急医疗事件，能够保持冷静，迅速有效地进行处理。","工作地点
秦皇岛昌黎县北戴河生命科学园
查看地图"
医院住院部主任,1-1.5万,经验不限,学历不限,有相关住院部工作经验，内科专业 职称 主治医师及以上,"工作地点
昌平区北京长城中医医院回龙观西大街 109号
查看地图"
住院部执业医生,5000-8000元,3-5年,本科,直接接诊住院患者，完成病史采集、体格检查和初步诊断。 制定并执行治疗方案，包括开具医嘱、处方、安排检查及操作。 持续监测患者病情变化。 配合上级医师（主治医师、主任医师）开展诊疗。 完成病历书写、医疗文书记录，确保医疗流程规范。  需持有执业医师资格证，有内科经验3年以上者。,"工作地点
鄂尔多斯伊金霍洛旗伊旗康阳医院
查看地图"
血透专科医生,8000-13000元,3-5年,本科,"工作内容：
1.负责血透科患者的诊断、治疗工作。
2.根据患者病情，制定合理的治疗方案，并监测治疗效果。
3.参与医院的会诊和病例讨论，提供专业意见和建议。
4.对患者进行健康教育和预防保健指导，提高患者的自我管理能力。
5.维护医疗记录和病历资料的完整性和准确性。
6.协调与其他科室的工作，确保患者得到全面的医疗服务。
7.参与相关学术交流活动，不断提高自身的专业水平。
8.领导交于的临时性工作及与该岗位相关的其他工作。
任职要求：
1.本科以上学历，临床内科相关专业，具有执业医师资格证书。
2.完成6个月三甲公立医院进修并取得血透进修证。
3.有学习血透专业知识和临床经验的意愿和规划，能够不断提升，独立完成疾病的诊断和治疗工作。
4.熟悉医院的工作流程和规章制度，能够遵守医疗伦理和法律法规。
5.具有良好的沟通能力和团队合作精神，能够与患者、家属和其他医护人员进行有效的沟通和协作。
6.具有较强的责任心和敬业精神，能够承担工作压力。
7.具备良好的学习能力和科研能力，能够不断学习和更新医学知识，提高自身的专业水平。","工作地点
武侯区成都高新华南医院
查看地图"
内科主治医师,1.6-2万,猛追湾,3-5年,"岗位职责：
1. 负责内科病患的诊断和治疗工作
2. 参与科室的医疗质量控制及医疗安全管理工作
3. 对下级医生进行业务指导和培训
岗位要求：
1. 本科及以上学历，临床医学相关专业
2. 拥有3-5年临床工作经验
3. 具备执业医师资格证，主治医师以上职称
4. 全职或兼职皆可
（辛苦附上简历一份，感谢）","工作地点
成都成华区世茂大厦
查看地图"
辅导老师/内分泌医生,7000-12000元,5-10年,本科,"承接公司及商学院管理指标，医学指导与会诊答疑。
1、教材优化与种子技术人才深度教育；
2、指导下级药师工作，定期与现场或远程会诊
3、定期复盘，分析管理后台数据。
任职要求：
1、年龄：42岁以下（80后）；
2、专业：本科（中医可适当放宽）以上学历；有执业医师资格证；
3、工作经验：内分泌科室，5年以上工作经验，糖尿病患者治疗经验丰富；
4、职业素养：正能量，有理想，有梦想，愿意从事糖尿病教育事业；
5.薪资：7-12K （底薪+提成） 社保：五险","工作地点
市中区内江站
查看地图"
内科医师（执业医师非执业助理医师）,4000-8000元,1-3年,大专,"一、任职要求
1、全职，有1-5年执业经验；
2、具有与岗位相关的资格证、执业证；
3、熟悉基本医疗保险政策及用药、诊疗项目等规定，具有良好的医患沟通能力、较强的服务意识；
二、工作内容：
1、在执业范围内开展日常诊疗工作；
2、为患者提供专业的医疗服务、健康咨询服务与指导；
3、其他临时性工作安排；
三、薪资待遇、工作时间
1、薪资结构：底薪（面谈）+提成，转正购买五险一金
2、工作时间：面谈
工作地点：云南省范围内","工作地点
昆明呈贡区一心堂药业集团股份有限公司
查看地图"
内科医生,6000-12000元,3-5年,大专,"职位要求：
1、临床内科医生，执业证注册内科或全科，能变更执业地点；
2、熟悉门诊常见病和多发病及一般重急症的处理；
3、执业医师以上；
4、吃苦耐劳，服从安排；","工作地点
武汉江岸区塔子湖社区健康街66号
查看地图"
LC-001-住院医生,8000-12000元,1-3年,本科,大连医科大学中山学院附属康复医院（大连育圣康复医院）  ► 大连医科大学中山学院第一所直属附属医院  ► 大连医科大学中山学院人才培养及临床教学实习基地  ► 大连医科大学附属第一医院及附属第二医院技术协作医院    工作职责：       1. 负责参与患者医疗工作。       2. 负责对患者提供检查、诊断和治疗，并开具医嘱。       3. 负责书写、完善住院病历、住院期间的病程记录，及时完成出院病案小结。       4. 负责病人住院期间的管理，协同完成查房。       5. 负责良好的协调与沟通其他医护、患者和家属等，实现对患者的妥善护理。       6. 负责负责配合医院完成相应的教培计划。       7. 完成院内其他应配合的各项工作。    岗位要求：           1. 热爱医疗事业，对医务工作秉持“服务至上”的理念。       2. 内科、外科或康复医学专业。       3. 统招本科以上学历。       4. 具有执业医师资格。       5. 同岗位工作经验2年以上加分。       6. 心内、神经内、骨科、全科医生优先。       7. 身体健康，符合医疗卫生机构要求。       8. 具有亲和力、良好的沟通能力。    （待遇、工作时间及其他面谈）     我院为新开办单位，院内环境以人为本，风格简约、绿色、高效，病房全部为单间，设施完整、无碍通行。以患者为中心，以生活重建为导向，追求卓越发展！,"工作地点
辽宁省大连市甘井子区汇贤街10号大连育圣康复医院
查看地图"
内科医师--顺义院区,1-2万,1-3年,本科,1、在科主任的领导和上级医师的带领下，负责一定数量病员的医疗工作，按要求完成各项医疗活动；  2、实行24小时住院医师负责制，担任住院、门诊的值班工作；  3、对病员进行检查、诊断、治疗，开写医嘱及必备的辅助检查单并检查其执行情况；  4、按时科内查房，上级医师查房时需汇报病历，及时报告诊断；  5、住院医师对所管病人应全面负责，下班前做好交班工作；  6、病室值班要坚守岗位，负责全病区病人临时处置、抢救及病房管理；  7、认真执行各项规章制度和技术操作规范。  任职要求：     1、临床医学专业本科及以上学历；       2、有相关血液或肿瘤专业实习或工作经验优先；       3、持有医师资格证书；       4、为人正直、责任心强，作风严谨，工作认真细致;    5、工作地点：燕达院区、亦庄院区、顺义院区、上海院区。职位福利：五险一金、绩效奖金、餐补、包住、定期团建、节日福利、免费班车,"工作地点
顺义区顺于路120号 北京陆道培血液病医院
查看地图"
内科医生,4000-8000元,10年以上,大专,"岗位职责：
1. 根据患者病情提供专业的诊断服务；
2. 执行日常医疗治疗工作，包括但不限于手术、药物治疗等；
3. 定期参与医院组织的科研及学术活动，不断提升专业技能；
4. 维护良好的医患关系，提高患者满意度；
5. 配合医院管理层，参与医院的日常管理工作。
任职要求：
1. 拥有有效的执业医师资格证书；
2. 具备良好的沟通能力和服务意识，能够处理好医生与患者之间的沟通；
3. 对医疗行业有浓厚的兴趣，愿意接受新知识、新技术；
4. 具备良好的团队合作精神，能够与同事协同工作；
5. 有责任心，能够独立完成分配的工作任务。","工作地点
陕西省铜川市耀州区东环路134号铜川长者之家
查看地图"
肾病内科主治医师,1-1.5万,5-10年,硕士,任职资格：   1、拥有5年及以上三级医院同岗位临床工作经验，已考取相关专业主治医师证书，具备本专业主治医师工作资质；  2、具备独立倒班及带组能力，具备门诊出诊、院内会诊、危重症患者抢救等能力；  3、能够配合科室上级医师对危重患者的治疗工作，拥有省级医院进修经历者优先；  4、在过往工作经历中，无任何违规违法记录、无任何医疗事故发生；  5、硕士学历及以上优先，本科学历资历优秀者择优录取。职位福利：五险一金、绩效奖金、餐补、通讯补助、带薪年假、定期体检、节日福利、免费停车,"工作地点
浑南区沈阳市浑南新区天赐街2号东北国际医院
查看地图"
消化内科医师,3000-6000元,1-3年,本科,"1.在上级医师指导下，分管病床，担任值班、门诊、出诊及抢救工作；
2.对预约手术治疗患者进行入院常规及术前准备工作，包括与门诊医师和患者家属的联系、解释；签署手术同意书及沟通记录等常规医疗文书；
3.患者术后与上级医师同时进行查房，并做好关于患者术后特殊治疗及相关注意事项的记录和执行工作；
4.随时巡视病房，至少做到每天上午查房、下午上下班同病员三见面;对危重病人随时观察。","工作地点
太原清徐县山西华晋骨科医院
查看地图"
内科医生,1.5-3万,江南大道,1-3年,"任职要求：要求内科执业范围，有执业医师证
岗位职责：能独立处理病号，独立完成病例书写","工作地点
广州海珠区万国奥特莱斯
查看地图"
宜春内外科普检医生,5000-7000元,10年以上,中专/中技,"一、关于薪资：
薪资构成：底薪+全勤奖+绩效奖金
1.底薪每个月15日准时到账，不拖不押，给你稳稳的底气；
2.绩效奖金：根据个人月度工作完成质量、客户满意度、团队协作表现综合评定，充分激发你的工作潜能。
3.五险一金、带薪年假、工龄奖、提供员工用餐、员工宿舍、年终奖、中科福利币体检；
二、岗位职责：
1. 内外科专项普检工作
- 内科检查：为体检客户提供标准化内科检查，精准完成心肺听诊（判断呼吸音、心音异常）、腹部触诊（检查肝脾大小、腹部包块）、血压测量、神经系统反射检查等项目，准确识别高血压、心律不齐、腹部脏器异常等健康问题。
- 外科检查：系统开展外科常规筛查，涵盖皮肤（观察有无皮疹、溃疡）、淋巴结（触摸颈部、腋窝等部位淋巴结肿大情况）、四肢脊柱（检查关节活动度、脊柱畸形）、甲状腺（触诊结节大小、质地）、乳腺、泌尿生殖系统等部位，及时发现疝气、静脉曲张、甲状腺结节、体表肿块等外科常见问题。
- 健康问询与评估：详细询问客户既往病史、手术史、过敏史及烟酒、饮食、运动等生活习惯，结合检查结果进行综合健康评估，对高危人群（如高血压、糖尿病家族史者）重点标注并提示风险。
2. 报告撰写与健康指导
- 依据检查数据，熟练运用Office办公软件，在规定时间内完成规范、易懂的体检报告，确保报告内容与检查结果一致，无错漏、无歧义；对异常指标进行专业解读，明确标注“建议复查”“进一步诊疗”等指导意见。
- 面对客户咨询，用通俗语言解释体检结果，针对高血压、高血脂、外科小病灶等问题，提供个性化健康干预方案（如饮食调整、运动建议、用药指导），提升客户健康管理意识。
3. 医疗质量与流程协作
- 严格遵守《医疗机构管理条例》及公司医疗操作规范，每日检查前核对诊疗工具消毒情况（如听诊器、血压计袖带），确保医疗安全；定期参与医疗质量抽查，配合质控部门整改问题，保障体检报告合格率达99%以上。
- 与护士、检验科、影像科等科室高效协作：指导护士完成客户引导、基础数据录入；与影像科联动确认腹部CT、胸片等检查结果，补充完善体检报告；协助科室优化体检流程，提升客户就诊效率。
4. 数据管理与知识分享
- 每月整理内外科体检数据，统计常见疾病发病率（如高血压、甲状腺结节检出率），形成数据分析报告，为公司优化体检套餐、开展健康科普活动提供依据。
- 参与科室病例讨论会，分享典型体检案例，带动团队整体诊疗水平提升；协助新员工进行带教，传授普检技巧与报告撰写经验。
三、任职要求：
1. 资质与经验硬门槛
- 持有有效内科/外科执业医师资格证书及医师执业证书，可完成注册变更；同时具备内外科双执业资质、或持有中级及以上职称证书者优先。
- 拥有8年及以上临床或体检机构内外科工作经验，熟悉体检中心“快速、精准、规范”的工作节奏，能独立应对体检高峰期的高强度工作，曾在二级及以上医院或连锁体检机构任职者优先。
2. 专业技能硬实力
- 扎实掌握内科学、外科学基础理论，对高血压、冠心病、糖尿病、慢性胃病、甲状腺疾病、外科体表肿瘤等常见疾病的临床表现、鉴别要点有深入理解，能精准判断体检中的异常体征。
- 具备高效的普检操作能力：内科听诊3分钟内完成心肺功能初步判断，外科触诊5分钟内完成全身重点部位检查；熟练操作电脑及Office软件，15分钟内完成1份标准体检报告撰写，能快速上手体检中心电子病历系统（如杏林七贤、天方达等）。
- 拥有优秀的医患沟通能力，能根据不同年龄、职业的客户调整沟通方式（如对老年人耐心细致、对年轻人简洁明了）。
3. 职业素养高要求
- 恪守医德医风，对待客户认真负责，严格保护客户隐私，不泄露体检数据；工作中注重细节，杜绝因疏忽导致的检查遗漏或报告错误。
- 具备较强的团队协作意识，能主动配合护士完成客户分流，协助其他科室解决跨科室诊疗问题。
4. 特殊工作要求（需明确接受）
- 到岗时间：体检中心每日7:30开始客户登记，需在7:15前到岗，完成个人防护穿戴、诊疗设备调试（如血压计校准、听诊器消毒）、体检表格核对等班前准备，确保正常接待客户；
- 加班安排：遇企业团检（单日体检人数超200人）、高峰等情况，需主动加班加点完成当日体检报告撰写及数据整理，加班时长可累计调休
- 出差轮值：需接受公司统一安排的定期出差轮值轮岗，前往周边相邻体检院区支援。
- 年龄与健康：35-65周岁，身体健康，无传染性疾病（如乙肝、肺结核）、精神类疾病及严重慢性病（如严重高血压、心脏病），能适应每日8小时工作。","工作地点
宜春市-袁州区-宜阳东大道6号万达广场F2
查看地图"
内科执业医师,6000-8000元,经验不限,本科,"岗位职责：能独立胜任所在岗位的工作要求，独立完成治疗任务。
任职要求：取得医师资格、执业资格。对于能独立完成治疗任务，胜任本职工作的，月薪8000元，外加奖金。

职位福利：五险一金、绩效奖金、年终分红、全勤奖、包吃、带薪年假、采暖补贴、节日福利","工作地点
唐山高新区立交桥东侧
查看地图"
网络咨询医生 客服医生,6000-10000元,经验不限,学历不限,"一、岗位职责：
以网络咨询及电话咨询的方式，通过建立良好的咨询关系，以专业的知识为基础，引导患者了解医院，建立对医院的信任，预约到院。
二、任职要求：
1、大专及以上学历，医学及护理相关专业背景；
2、沟通表达能力强，普通话标准，打字速度快；
3、耐心、热情、应变能力强。","工作地点
济南市-天桥区-北园街道北园大街445号
查看地图"
内分泌科医生,6000-8000元,1-3年,大专,"岗位内容：
1. 为内科患者提供全面的医疗服务，负责制定和实施治疗方案。
2. 协调医院各科室的医疗资源，确保患者得到最佳的治疗和护理。
3. 参与或主持内部和外部培训课程，提高自身专业技能和知识水平。
4. 遵循医疗伦理规范，秉承服务理念，保障患者权益。
任职要求：
1.医学专业，大专医生学历，有医师资格证书，主治以上职称优先；
2.二级综合医院1年以上门诊和疗区工作经验；
3.负责医疗文件的书写；
4.能够独立值夜班。","工作地点
吉林省长春市朝阳区建设街与解放大路交汇星宇名座1层
查看地图"
省看守所医生-上一休二,8000-10000元,5-10年,大专,"岗位内容：
1. 展示良好的气质和言行举止，提供高品质的服务态度，保障患者满意度。
2. 将患者就诊信息录入系统并协调各科室之间的协同联络。
3. 完成初诊和复诊工作，并做好随访和健康管理工作。
4.工作地点合隆镇（外派），上一休二，有班车提供食宿。
任职要求：
1. 具备较好的沟通和表达能力，能够流利地进行口头和书面沟通。
2. 具有良好的协作和团队意识，认真负责，具备一定的抗压能力。
3.可以独立值班，有五年以上工作经验。","工作地点
长春朝阳区万佳医院
查看地图"
主检医师,1.5-2万,10年以上,本科,岗位职责：  1. 在体检中心主任的领导下，负责体检工作全面技术指导；  2. 负责汇总体检结果后提出体检综合分析报告，做出客观准确的体检结论和保健建议；  3. 在体检结果较复杂、综合分析难以结论时，要与有关科室医师或主管医师及医务主任共同讨论并予以结论，确保体检质量；  4. 负责体检报告终末质量的检查并签署意见；  5. 负责对结论有异议的体检项目组织相关科室的体检医生共同讨论并得出最总结果；  6. 具体负责高危异常体检结果的分析和评论，并写出终检结论；  7. 负责体检客人的咨询工作；  8. 参与体检全过程的质量检查工作。  任职资格：  1. 临床医学专业，需要有北京市主检医师证，本科以上学历；  2. 具有副主任医师职称以上；  3.有十年以上内科/外科专业工作经验，有体检中心主检工作经验者优先；  4. 电脑操作技能娴熟；  5. 工作认真负责，人品端正踏实；  6. 具有良好的沟通协作能力及服务意识。职位福利：五险一金、餐补、员工食堂,"工作地点
丰台区北京华生康复医院光彩路1号院
查看地图"
内科主治医师,1.3-1.5万,1-3年,本科,"任职要求：
1.统招本科及以上学历，中级职称；
2.有丰富急救工作经验者优先；
3.有抗洪、抗震等经验优先录取。","工作地点
中牟县郑州君鹏综合医院
查看地图"
心血管内科医师,8000-16000元,5-10年,本科,"住院医师
1、具有本科及以上学历，初级医师职称
2、有在二级及以上医院工作的经验
3、能独立、熟练开展常见病、多发病的诊治工作
4、计算机操作熟练，有一定外语应用能力
主治医师
1、具有本科及以上学历，中级医师职称
2、有在二级及以上医院的工作经验，三甲医院工作者优先录用
3、能独立、熟练开展常见病，多发病、疑难病的诊治，并能组织重危病人的抢救，初步掌握介入技术
4、能协助主任医师开展临床和科研工作
5、计算机操作熟练，外语应用能力较强，并能用于工作","工作地点
芜湖湾沚区俞林路与永泰路交叉口东南200米
查看地图"
血液透析中心医生,4000-8000元,1-3年,本科,"任职要求
1、具有本科及以上学历，有内科执业资格
2、有血液透析工作经验者优先
3、有较强的基础知识积累，基本功扎实
4、具备较强的沟通能力和团队合作精神，能够耐心细致地对待每一位患者
5、对工作认真负责，具有良好的职业操守和服务意识
岗位描述
1、负责血液透析患者的治疗计划制定与实施，患者教育干预、病情观察及并发症处理；确保患者得到安全有效的治疗
2、定期评估患者的病情变化，及时调整治疗方案，并记录详细的治疗过程及效果，完成病历书写及数据上报等工作
3、参与科室日常管理，包括但不限于设备维护、药品管理以及团队协作
4、与患者及其家属沟通，解答疑问，提供必要的健康教育
5、配合其他医疗专业人员进行多学科协作诊疗，共同提高医疗服务水平
6、持续学习和掌握最新的血液透析技术和临床指南，提升个人专业能力
待遇
1、五险一金
2、有餐补及防暑降温、取暖补贴
3、带薪年假
4、工资面议","工作地点
和平区天津和平津萃医院
查看地图"
体检中心内科医生,4000-7000元,1-3年,本科,"一、 工作职责
体检中心内科医生的工作可以划分为三大板块：​检前、检中、检后。
​了解病史​：在体检开始前，详细询问并记录受检者的个人史、家族史、既往病史、用药史、过敏史及生活习惯（如吸烟、饮酒、运动、饮食等）。
​内科体格检查​：视、触、叩、听​：进行规范的内科系统检查，包括测量血压、听诊心音、呼吸音，触诊腹部肝、脾、淋巴结等，检查神经系统生理反射等。
​异常体征识别​：敏锐地发现异常体征，如心脏杂音、肺部啰音、腹部包块、甲状腺肿大等。
​报告初步判读​：实时查看已出的检验科（血常规、尿常规）和功能科（心电图）的检查结果，对异常指标保持高度警觉。
​紧急情况处理​：具备处理体检过程中可能出现的突发状况的能力，如低血糖、晕厥、急性心脑血管事件等，并启动应急预案。
​报告审核与总评​：​撰写终检报告​汇总所有异常指标和体征。评估其健康风险等级（如心血管疾病风险、糖尿病风险等）。提供针对性的生活方式干预建议（如饮食、运动、戒烟限酒）。
二、 任职要求
临床医学专业本科及以上学历。
执业资格​：必须持有中华人民共和国医师资格证书​ 和医师执业证书，且执业范围为“内科”或“预防保健科”。
​工作经验​：一般要求具备2年或以上综合性医院内科（如心内科、消化内科、呼吸内科等）临床工作经验。熟悉常见病、多发病的诊疗思路。
​技能要求​：熟练掌握内科系统的体格检查技能，能独立解读心电图、常见影像学报告（X光、B超）和常规化验单。","工作地点
灞桥区西安国际港务区爱瑞康健康体检管理有限公司
查看地图"
执业医师（内科+全科+中西医结合）全职/兼职,5000-7000元,经验不限,大专,兼职可在甘肃各个区域或甘肃周边均可，证需注册，不需要到公司上班（兰州工作地址在安宁砂之船）  岗位职责：   1.负责集团公司APP、企微、网站及其他第三方电商平台对在线咨询患者给与答疑解惑及诊疗；  2.负责提供医药健康咨询，对普通常见病、慢性病的患者的进行问诊、处方开具；   3.及时问诊，并向顾客交代清楚注意事项和用法用量；   4.认真核对复诊凭证，并与用药人信息相符，针对疑问顾客做好随访；  5.集团零售门店处方的及时开具，及各监管平台门店检查工作时的配合。  "任职资格：  1.大专及以上学历，临床医学等其他相关专业；  2.依法取得相应执业资质，提供服务的医师，应当确保完成主要执业机构规定的诊疗工作；  3.有医院临床工作经验，熟悉内科、全科、耳鼻喉、中医、慢性病、妇产科等相关科室疾病及用药；  4.熟练基本的电脑操作，可熟悉在电脑端打字，普通话标准，口吃清晰，有亲和力。,"工作地点
安宁区砂之船(兰州)奥莱A馆26楼
查看地图"
26513P-南昌检测-总检医生,面议,10年以上,本科,"工作职责要求：
一、体检主检：
1.负责健康体检的总检工作 及时完成体检报告， 符合公司报告书写要求， 如遇疑难问题及时请示上级 医 师，杜绝 错 检、漏检等事故的发生。
2.针对健康方面存在的问题，提出相应的防治建议和健康保健 日常饮食、运动 等）建议。
3.对阳性结果有疑问或不能确诊者，应建议进一步检查，或 组织相应科室专家会诊，明确体检诊断 。
4.检出重要阳性体征或可疑重大疾病及时通知到受检单位或受检 者 并及时记录。
二、健康咨询：
1.做好体检前和体检中的咨询解答工作，根据受检者身体情况提供个性化体检套餐，并解释体检项目的临床意义。
2.对亚健康人员进行追踪随访，定期电话回访进行健康指导 。
三、科研及技术引进：
1.积极参加公司和团队组织的培训课程和专业学习活动，达成学习目标，提高个人专业能力 。
2.不断开展部门和个人在专业领域的新科学、新技术等专业课题研究，完成年度科研要求，提高学术水平
四、危急值管理：
对于体检中发现的危急重症等危险因素应及时上报团队主管和部门总监 视 情况 告 知受检者或单位，通知受检者作相关诊治，并进行追踪、随访、体检结果发现重大疫情，及时上报好医质量。
任职资格：
1.本科以上学历，主任医师职称；
2.执业范围是内科或者外科。

职位福利：七险二金、带薪年假、节日福利、高温补贴、绩效奖金","工作地点
南昌市南昌市青山湖区京安路399号
查看地图"
内科医生,1.3-2万,5-10年,学历不限,岗位内容： 1. 对内科患者进行全面体检，收集其病史和症状，制定详细的医疗治疗方案。 2. 对患者进行必要的辅助检查，包括但不限于CT、核磁共振等。 3. 对内科患者提供有效的治疗，包括处方药物、手术等治疗方法。 4. 不断学习最新的内科医疗知识和技术，保持对患者的高水准护理。 任职要求： 1. 取得医师执业证书。 2. 至少从事内科临床医疗工作3年以上，有一定的临床经验。 3. 掌握内科医学领域的基本理论和操作技能，善于观察、分析和解决问题。 4. 声誉卓越，具有优秀的沟通和人际交流能力。,"工作地点
南通通州区上悦花园
查看地图"
内科医生,5000-8000元,3-5年,本科,"岗位内容：
1. 制定和执行内科患者的治疗计划，监测疾病进展并进行适当的调整。
2. 诊断和治疗各种疾病，参与会诊、病例讨论和查房。
3. 审查患者的病历、检查结果和其他相关信息，做出正确的医疗决策。
任职要求：
1.医学本科及以上学历，医师资格证。有3年以上工作经验优先。
2. 具备良好的沟通和团队合作能力。","工作地点
保定市-莲池区-东风东路180号(东风公园北门)3楼康复科
查看地图"
内科医生,1-2万,5-10年,大专,嘿，你好！我们正在寻找一位充满激情、热爱医疗事业的内科医生，一起为患者的健康努力！ 你的工作将是为患者提供诊断、治疗和关怀，用专业知识和技术帮助他们恢复健康。 如果你具备以下条件，就赶快加入我们吧！ 1. 医学本科及以上学历，已经取得医师资格证； 2. 在内科领域有一定的临床经验，但我们是开放的，也欢迎新人加入； 3. 善于沟通，能与患者和家属建立良好的关系； 4. 热爱团队工作，愿意与我们一起成长和进步。 期待你的加入，一起为患者的健康贡献力量！,"工作地点
广东省广州市番禺区
查看地图"
内科医生,9000-15000元,1-3年,大专,"岗位内容：
1. 对内科患者进行全面体检，收集其病史和症状，制定详细的医疗治疗方案。
2. 对患者进行必要的辅助检查，包括但不限于CT、核磁共振等。
3. 对内科患者提供有效的治疗，包括处方药物、手术等治疗方法。
4. 不断学习最新的内科医疗知识和技术，保持对患者的高水准护理。
任职要求：
1. 医学博士学位，取得医师执业证书。
2. 至少从事内科临床医疗工作3年以上，有一定的临床经验。
3. 掌握内科医学领域的基本理论和操作技能，善于观察、分析和解决问题。
4. 声誉卓越，具有优秀的沟通和人际交流能力。","工作地点
南充仪陇县仪陇弘立医院
查看地图"
内科医生,8000-11000元,5-10年,学历不限,要求身体健康，有责任心，大内科或全科医生优先,"工作地点
哈尔滨香坊区动源二道街与动源街交叉口西南80米1-13号门市
查看地图"
内科医生（主治医师）,1.3-1.8万,5-10年,本科,"岗位内容：
1. 为内科患者提供全面的医疗服务，负责制定和实施治疗方案。
2. 协调医院各科室的医疗资源，确保患者得到最佳的治疗和护理。
3. 参与或主持内部和外部培训课程，提高自身专业技能和知识水平。
4. 遵循医疗伦理规范，秉承服务理念，保障患者权益。
任职要求：
1. 具有医学相关专业学位。
2. 具备一定的内科医学知识背景和工作经验。
3. 具有良好的沟通、组织协调和团队合作能力。
4. 积极、主动，能够承受工作压力。
福利待遇
1、五险一金、餐补、房补、交通补贴、团建、旅游、年休假
2、外派进修学习","工作地点
江宁区南京健安医院
查看地图"
内科医生-干细胞方向,1.5-2.5万,经验不限,学历不限,"岗位职责：
1. 负责日常内科医疗工作，包括但不限于病历记录、诊断、治疗以及护理；
2. 参与医院的急诊处理，确保及时准确地应对各类突发医疗事件；
3. 与患者沟通，提供专业的医疗建议和解答；
4. 定期参加医院组织的培训和学术活动，不断提升专业技能和知识。
任职要求：
1. 具备良好的沟通能力和服务意识，能够有效地与患者进行互动；
2. 拥有较强的判断力和决策能力，能够独立处理和解决医疗问题；
3. 具备良好的团队合作精神，能够与同事协同工作，共同完成医疗任务；
4. 对于紧急医疗事件，能够保持冷静，迅速有效地进行处理。","工作地点
秦皇岛昌黎县北戴河生命科学园
查看地图"
肾内科医生（血透中心）,8000-16000元,艳粉,1-3年,岗位职责1.负责血液透析患者的日常诊疗，慢病管理干预，做好患者病例档案记录；   2.掌握透析患者的病情，制定个性化的透析及综合治疗方案；  3.评估透析效果，处理透析并发症，提升及改善患者临床成效。    岗位内容1.大学本科以上学历，临床医学专业；  2.持有执业医师证书，有肾内科临床工作经验；  3..熟悉医疗行业相关法律、法规；  4.良好的职业道德素质和团队精神，作风正派，奉公守法；  5.有较强的组织协调能力和良好的医患沟通能力；强烈的事业心和责任感，工作踏实，耐心细致，热心为患者服务； 6.身心健康，无医疗差错事故和医德医风事件  职位福利：五险一金、餐补、交通补助、通讯补助、定期体检、节日福利,"工作地点
沈阳铁西区腾飞二街18甲
查看地图"
内科医生,5000-6000元,3-5年,本科,有内科或全科执业医师资格证,"工作地点
乌鲁木齐沙依巴克区万科兰乔圣菲
查看地图"
